,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,DM_attrs,Acc,3.5,9.0,11.0,12.0,13.0,16.0
1,DM_attrs,Agi,0.0,8.0,9.5,11.0,13.0,17.0
2,DM_attrs,Pac,3.0,8.0,9.5,11.0,13.0,16.0
3,DM_attrs,Wor,5.0,10.5,12.5,14.0,15.0,18.0
4,DM_attrs,Jum,2.5,8.0,10.5,13.0,14.0,18.5
5,DM_attrs,Fir,3.0,7.0,9.0,11.5,13.0,17.0
6,DM_attrs,Dri,0.0,4.0,6.0,7.0,8.0,13.0
7,DM_attrs,Cmp,0.0,6.0,8.0,11.0,12.0,18.5
8,DM_attrs,Sta,3.0,10.0,11.5,13.0,14.5,18.5
9,DM_attrs,Pos,0.0,9.0,11.0,12.0,13.5,16.5
10,DM_attrs,Cnt,0.0,6.0,10.0,12.0,13.0,18.5
11,DM_attrs,Fre,0.0,0.0,2.0,6.0,8.5,15.0
12,DM_attrs,Cor,0.0,0.0,2.5,5.5,7.0,13.0
13,DM_attrs,Fin,0.0,0.0,4.0,5.5,7.5,13.0
14,DM_attrs,OtB,0.0,3.5,6.0,8.5,9.5,14.0
15,DM_attrs,Pas,4.0,8.5,10.0,12.0,14.0,16.5
16,DM_attrs,Tec,4.5,7.5,10.0,11.5,13.0,19.0
17,DM_attrs,Ant,0.0,7.5,10.5,12.5,14.0,16.5
18,DM_attrs,Dec,0.0,9.5,11.0,13.0,15.0,17.5
19,DM_attrs,Lon,0.0,5.0,6.5,8.5,10.0,13.5
20,DM_attrs,Fla,0.0,3.5,5.0,7.0,9.5,17.0
21,DM_attrs,Tck,0.0,9.0,11.0,12.5,14.0,18.0
22,DM_attrs,Hea,1.5,5.5,7.0,9.0,11.5,17.5
23,DM_attrs,Agg,2.5,9.0,10.0,12.0,13.0,17.5
24,DM_attrs,Bra,0.0,7.0,10.5,13.0,16.5,19.0
25,DM_attrs,Bal,0.0,7.0,10.0,12.0,14.0,18.0
26,DM_attrs,Str,2.5,8.5,10.5,11.5,13.0,15.5
27,DM_attrs,Det,2.5,9.5,12.0,13.5,15.0,19.0
28,DM_attrs,Mar,0.0,6.0,9.0,10.0,12.0,16.0
29,DM_attrs,Vis,0.0,5.5,8.0,10.5,13.0,17.0
30,DM_attrs,Tea,0.0,9.0,11.0,13.0,16.0,19.0
31,DM_attrs,Cro,0.0,0.0,4.0,6.0,7.5,14.0
32,DM_attrs,Ldr,0.0,5.5,9.0,10.5,13.5,16.5
33,DM_attrs,Nat,0.0,11.0,12.0,13.0,14.0,18.0
34,DM_attrs,L Th,0.0,0.0,0.0,3.0,7.0,12.5
35,DM_attrs,Pen,0.0,0.0,0.0,5.0,8.0,11.5
36,DM_attrs,Aer,0.0,0.0,0.0,1.5,3.0,6.0
37,DM_attrs,Cmd,0.0,0.0,0.0,1.5,2.5,4.5
38,DM_attrs,Com,0.0,0.0,0.0,1.0,2.5,5.0
39,DM_attrs,Ecc,0.0,0.0,0.0,1.5,3.0,5.0
40,DM_attrs,Han,0.0,0.0,0.0,1.0,2.5,5.5
41,DM_attrs,Kic,0.0,0.0,0.0,1.0,3.0,4.5
42,DM_attrs,Pun,0.0,0.0,0.0,1.0,2.5,4.5
43,DM_attrs,1v1,0.0,0.0,0.0,1.0,2.5,5.5
44,DM_attrs,Ref,0.0,0.0,0.0,1.5,2.5,5.5
45,DM_attrs,TRO,0.0,0.0,0.0,1.5,3.0,4.5
46,DM_attrs,Thr,0.0,0.0,0.0,1.0,3.0,5.5
47,DM_attrs,Age,15.0,19.0,21.0,22.0,28.0,35.0
