,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,ML_abis,Aerial,2.0,5.0,7.0,10.0,12.0,17.5
1,ML_abis,Awareness,3.17,7.33,9.33,10.5,11.33,13.67
2,ML_abis,Clearing,3.0,5.0,6.0,8.0,9.5,13.5
3,ML_abis,Closing,1.5,4.5,6.0,8.5,9.5,13.0
4,ML_abis,Control,7.0,10.5,11.5,12.5,13.5,15.5
5,ML_abis,Creativity,1.83,9.17,10.33,11.0,12.5,15.17
6,ML_abis,Crossing,6.0,9.33,10.33,11.33,12.33,14.67
7,ML_abis,Decision,1.75,8.25,9.5,11.0,12.5,15.5
8,ML_abis,Defensive,1.5,4.5,6.0,8.5,9.5,13.0
9,ML_abis,Dribbling,4.0,10.25,11.0,12.0,13.5,16.0
10,ML_abis,Focus,0.0,7.0,8.0,9.5,10.0,13.5
11,ML_abis,Endeavour,6.62,8.75,10.0,11.0,12.38,13.75
12,ML_abis,Intelligence,4.2,8.4,9.9,10.8,11.6,13.7
13,ML_abis,Marking,1.0,3.0,4.17,6.83,8.5,12.67
14,ML_abis,Mobility,7.0,11.12,12.25,13.0,14.25,16.12
15,ML_abis,Movement,1.17,8.33,9.83,10.67,11.83,14.5
16,ML_abis,Off The Ball,0.0,9.0,10.5,12.0,14.0,17.0
17,ML_abis,Passing,8.25,10.0,11.0,11.75,13.25,16.5
18,ML_abis,Physical,2.5,6.75,8.5,10.0,11.5,13.75
19,ML_abis,Shooting,4.67,7.0,8.33,9.33,10.33,15.0
20,ML_abis,Tackling,0.0,4.0,5.0,6.0,8.5,14.5
