,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,WBL_abis,Aerial,2.0,6.0,8.5,11.0,13.5,17.0
1,WBL_abis,Awareness,4.67,7.0,8.5,9.33,10.83,13.33
2,WBL_abis,Clearing,3.5,4.5,7.0,8.0,10.0,13.0
3,WBL_abis,Closing,4.0,7.0,9.25,10.25,11.5,13.0
4,WBL_abis,Control,6.5,8.75,9.5,10.5,11.5,14.75
5,WBL_abis,Creativity,2.33,7.33,8.33,9.17,11.0,13.33
6,WBL_abis,Crossing,3.0,6.5,8.33,9.33,10.33,12.67
7,WBL_abis,Decision,3.5,10.5,11.0,11.5,12.75,14.5
8,WBL_abis,Defensive,4.0,7.0,9.25,10.25,11.5,13.0
9,WBL_abis,Dribbling,4.75,6.5,7.5,10.0,11.5,13.25
10,WBL_abis,Focus,0.0,8.5,9.5,10.25,11.5,13.5
11,WBL_abis,Endeavour,4.62,8.5,11.0,12.0,13.5,15.88
12,WBL_abis,Intelligence,4.4,6.5,7.8,10.0,10.6,12.0
13,WBL_abis,Marking,2.67,8.33,9.0,10.17,11.0,12.67
14,WBL_abis,Mobility,2.75,10.25,11.88,12.5,13.38,15.25
15,WBL_abis,Movement,2.33,10.33,10.83,11.33,12.17,13.67
16,WBL_abis,Off The Ball,0.0,0.0,5.0,7.0,9.0,13.0
17,WBL_abis,Passing,4.5,8.5,10.0,10.25,11.5,13.75
18,WBL_abis,Physical,2.5,7.5,10.0,11.0,13.5,15.75
19,WBL_abis,Shooting,1.67,4.17,6.33,7.0,7.33,10.17
20,WBL_abis,Tackling,4.0,9.0,11.0,12.0,14.0,15.0
