Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Gorka Alonso,2000629412,0,0,0,0,0,0,0,0,0,0,1,0,1,0,abilbaoc
Xabier Núñez,2000629413,0,0,0,0,0,0,0,0,0,0,1,1,1,1,abilbaoc
Didier Oyarzun,2000632730,0,0,0,0,0,0,0,0,1,0,0,1,1,0,abilbaoc
Jofre,67277677,0,0,0,0,0,0,0,0,0,1,1,0,1,1,andorra
Héctor Badía,2000569609,0,0,0,0,0,0,0,0,0,0,1,0,1,1,andorra
Víctor Campuzano,67214684,0,0,0,0,0,0,0,0,0,1,1,0,1,1,andorra
Harvey Woods,2000031620,0,0,0,0,0,0,0,0,0,0,1,1,1,1,andorra
Bryan Zaragoza,2000054263,0,0,0,0,0,0,0,1,0,1,0,1,1,0,andorra
Iñaki Díez,2000438806,0,0,0,0,0,0,0,1,0,0,1,0,1,0,apamplonab
Javier Zubizarreta,2000570450,0,0,0,1,0,0,0,0,0,1,0,0,1,0,apamplonab
Víctor Sarriegi,2000570454,0,0,0,0,0,0,0,1,0,0,1,1,1,1,apamplonab
Peio Arana,2000438809,0,0,0,0,0,0,0,0,1,1,0,0,1,0,apamplonab
Asier Galán,2000510874,0,0,0,0,0,0,0,0,0,0,1,0,1,1,apamplonab
Adrián Iglesias,2000510876,0,0,0,0,0,0,0,0,0,1,0,0,1,0,apamplonab
Gorka Santamaría,2000629739,0,0,0,0,0,0,0,1,0,0,1,0,1,1,apamplonab
Marcos Goñi,2000629740,0,0,0,0,0,0,0,0,1,0,0,1,1,0,apamplonab
Mati,2000556504,0,0,0,0,1,0,0,0,1,1,1,0,1,1,badalona
Ale Sánchez,2000512877,0,0,1,0,0,1,0,0,1,1,1,1,1,0,badalona
Josh Pérez,72046491,0,0,0,0,0,0,0,1,0,0,1,0,1,0,badalona
Gustavo Abizanda,67293305,0,0,0,0,0,0,0,0,0,1,0,0,1,1,badalona
Juan Ramón Acosta,2000680229,0,0,0,0,0,0,0,0,0,1,0,0,1,0,badalona
Nacho Méndez,67248345,0,0,0,0,0,0,0,0,1,0,0,1,1,0,eibar
Julio Nsi,2000629231,0,0,0,0,0,0,0,0,0,1,1,1,1,1,eibar
Bernardo,2000440739,0,0,0,0,0,0,0,0,0,1,1,1,1,1,eibar
Jorge Álvarez,2000202563,0,0,0,0,1,0,0,0,0,1,1,0,1,1,eibar
Babacar Faye,2000197156,0,0,0,0,0,0,0,1,0,0,1,1,1,0,eibar
Manuel Jesús Romero,2000194994,0,0,0,1,0,0,1,0,0,1,0,0,1,0,eibar
Elliot,67256517,0,0,0,0,0,0,0,0,0,1,1,0,1,1,eibar
Cristo,67211796,0,0,0,0,0,0,0,0,0,1,1,1,1,1,eibar
Manuel García,2000633004,0,0,0,0,0,0,0,0,0,1,0,0,1,1,girona
Miguel Rodríguez,2000192674,0,0,0,0,0,0,0,0,1,1,1,1,1,0,girona
Jordi Busquets,2000574550,0,0,0,1,0,0,1,0,0,0,0,1,1,0,girona
