Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Asier Goñi,2000570279,0,1,1,0,0,0,0,0,0,0,0,0,0,0,abilbaoc
Eduardo Garai,2000662654,0,1,1,1,0,0,0,0,0,0,0,0,0,0,abilbaoc
Jokin Aguirre,2000628756,0,1,0,0,1,0,0,1,0,0,0,0,0,0,abilbaoc
Daniel Tena,2000629406,0,1,1,0,1,1,0,0,0,0,0,0,0,0,abilbaoc
Fran,2000629410,0,1,0,1,0,0,1,0,0,0,0,0,0,0,abilbaoc
Miguel Loureiro,67210521,0,1,0,0,1,0,0,0,0,0,0,0,0,0,andorra
Isaac,2000681907,0,1,1,1,0,0,0,0,0,0,0,0,0,0,andorra
Amador,2000440900,0,1,0,0,0,1,0,0,1,0,0,0,0,0,andorra
Èric Montes,95036004,0,1,1,0,0,1,0,0,1,0,0,0,0,0,andorra
Adrián Tellado,67260179,0,1,0,0,1,0,0,0,0,0,0,1,0,1,andorra
Mikel Bengoetxea,2000510871,0,1,1,0,0,1,0,0,1,0,0,0,0,0,apamplonab
Iñigo Llorente,2000510870,0,1,0,0,0,0,0,0,0,0,1,0,0,0,apamplonab
Iosu Pérez,2000510877,0,1,1,0,0,1,0,0,1,0,0,0,0,0,apamplonab
Christian Díaz,2000510073,0,1,1,0,0,0,0,0,1,0,0,0,0,0,badalona
Jesús García,2000443709,0,1,1,0,1,0,1,0,0,0,0,0,0,0,badalona
Eugenio,2000196447,0,1,0,1,1,0,0,0,0,0,0,1,0,0,badalona
Oriol Valentín,2000632214,0,1,1,0,0,0,0,0,0,0,0,0,0,0,eibar
Iván Calero,67176056,0,1,0,1,1,0,1,1,0,1,1,0,0,0,eibar
Pablo López,2000612702,0,1,0,0,0,0,0,0,0,0,0,0,0,0,girona
Yeray Ortega,2000199817,0,1,1,0,0,0,0,0,0,0,0,0,0,0,girona
Andrés Romero,2000193995,0,1,1,0,1,0,0,0,0,0,0,0,0,0,girona
Diogo Fonseca,2000197949,0,1,1,0,1,0,0,1,1,0,0,0,0,0,hospitalet
Luis Iglesias,2000440882,0,1,1,0,0,1,0,0,0,0,0,0,0,0,hospitalet
Chechu,2000629747,0,1,0,1,1,0,0,0,0,0,1,0,0,0,hospitalet
Vladimir Fati,2000680262,0,1,1,1,0,0,0,0,0,0,0,0,0,0,hospitalet
José Antonio Zubillaga,2000443802,0,1,1,0,1,1,0,0,0,0,0,0,0,0,hospitalet
Bilal Aceña,2000514725,0,1,1,0,0,1,0,0,0,0,0,0,0,0,hospitalet
Sandro,2000515229,0,1,0,0,1,0,0,1,0,0,1,0,0,0,hospitalet
