Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Andoni Hernández,2000662653.0,6.0,10.25,10.75,6.33,4.67,5.83,7.0,10.25,abilbaoc
Ander Cantero,2000200392.0,6.17,11.62,8.0,7.67,3.83,7.33,7.75,10.25,andorra
Miguel López,2000714751.0,1.5,5.12,7.75,1.5,1.0,1.0,6.5,5.67,andorra
Sergi Puig,67247577.0,4.33,9.5,9.0,8.0,3.17,4.33,7.0,10.5,andorra
Josema,2000438803.0,1.17,5.38,8.0,1.5,2.5,2.5,6.75,5.58,apamplonab
Jaume Ramón,2000198629.0,3.83,6.38,10.25,2.67,1.83,1.0,9.25,6.5,badalona
Txomin Zubiri,2000439530.0,2.67,9.0,5.5,2.67,2.67,3.33,5.5,12.67,badalona
Dorian Vera,2000514439.0,3.5,8.12,9.5,2.5,3.83,2.83,7.5,7.08,eibar
Juan Pérez,67217545.0,4.33,11.5,10.5,8.33,5.5,4.67,6.5,11.33,eibar
Adrián Ortolà,67115824.0,3.33,7.0,6.0,4.67,5.0,8.67,7.0,12.5,girona
Lluís,2000443359.0,2.67,12.0,12.5,4.33,2.67,4.67,5.0,12.0,girona
Ignacio Otaño,67240441.0,3.0,8.0,11.0,4.0,3.0,2.33,3.5,10.83,hospitalet
Jorge Bríngola,2000512567.0,4.33,6.12,4.5,1.0,1.5,1.17,6.25,7.25,hospitalet
Diego Llamazares,2000013481.0,2.5,8.25,12.5,3.83,2.83,1.33,2.75,7.08,leonesa
Abdulrahman Al-Marri,2000711945.0,3.67,8.25,13.0,3.67,2.33,1.0,5.0,5.67,leonesa
José Ángel Pillado,2000743514.0,0.83,4.0,4.75,1.17,0.67,0.67,0.0,4.33,lleida
Ángel Jiménez,2000067577.0,2.0,6.5,9.5,2.33,2.33,2.67,7.5,11.5,lleida
Ramón Juan,67258716.0,5.17,7.38,10.0,7.17,4.83,3.33,3.75,12.83,logrones
Pablo Picón,67277686.0,2.83,7.38,11.5,3.17,3.5,2.5,6.0,6.75,logrones
Carlos Marín,67211705.0,5.83,9.5,6.5,6.33,4.0,4.33,7.25,9.92,mirandes
Ngala Diop,2000712992.0,2.5,7.75,7.75,2.33,3.5,2.17,5.0,5.0,mirandes
Miquel Parera,67199250.0,5.5,9.25,11.0,9.0,5.17,4.67,7.5,11.25,numantia
Tom Ahlvers,2000197803.0,3.83,6.12,9.75,2.33,1.5,1.17,7.75,7.83,numantia
Unai Goti,2000065885.0,4.0,8.25,8.5,3.33,3.0,3.17,7.0,10.83,olot
Jorge Sangalli,2000202624.0,4.33,4.62,0.0,1.17,1.83,1.0,0.0,7.08,olot
Jordi Prats,2000202599.0,1.33,3.62,0.0,1.5,1.17,2.83,0.0,4.08,olot
Igor Cuesta,2000740950.0,1.17,5.88,0.0,1.17,1.83,1.83,0.0,4.92,ponferrada
Álvaro Fernández,67262229.0,3.67,8.75,11.0,6.67,4.33,3.67,5.5,11.17,pontevedra
Pedro Manuel Peña,2000665371.0,3.0,7.0,11.0,2.67,3.0,2.67,4.5,3.92,pontevedra
Raffaele Russo,2000324450.0,4.67,13.25,11.0,10.0,3.33,4.33,8.5,11.17,rsanb
Ronald Woudenberg,2000633117.0,6.33,11.0,9.5,8.67,4.0,4.67,7.0,10.67,rsanb
Agustín Kranevitter,2000612966.0,6.0,12.25,8.0,8.33,4.33,6.0,9.0,12.0,rsanb
Coke Carrillo,2000048835.0,3.33,12.25,11.0,3.0,4.0,6.0,7.0,10.83,rsantander
Adrián,67276068.0,1.33,8.62,11.0,3.17,2.5,1.83,7.5,7.08,rsantander
Ander Iru,67260190.0,5.5,8.88,12.0,8.67,4.33,5.0,6.25,10.75,sabadell
Alberto,2000714494.0,2.0,6.38,0.0,1.0,1.5,1.33,0.0,5.33,sabadell
Juanma,2000199335.0,4.17,10.62,10.0,9.67,3.83,3.83,6.75,11.17,tarragona
Antoni,2000742548.0,2.5,4.25,12.0,1.5,1.67,1.0,3.5,5.42,tarragona
Luis Pomareta,2000629921.0,5.0,5.0,8.5,2.67,2.0,1.33,5.0,4.83,zaragozab
Juan Antonio,2000710692.0,3.5,9.75,9.75,2.83,2.17,2.83,3.75,10.08,zaragozab
