Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Jofre,67277677.0,7.83,10.88,12.5,10.0,10.67,12.0,5.5,10.5,andorra
Víctor Campuzano,67214684.0,6.83,10.75,11.75,13.0,12.67,12.5,6.75,11.5,andorra
Bryan Zaragoza,2000054263.0,2.0,11.25,13.5,11.67,7.67,14.67,6.0,6.67,andorra
Diego,2000574102.0,11.5,10.88,8.0,6.17,4.17,6.83,11.0,12.58,apamplonab
Javier Zubizarreta,2000570450.0,2.33,12.25,15.25,11.17,9.5,11.5,5.25,11.75,apamplonab
Peio Arana,2000438809.0,8.67,12.0,13.5,10.67,9.0,13.67,9.0,12.0,apamplonab
Adrián Iglesias,2000510876.0,0.0,5.25,14.0,8.33,6.67,13.5,8.75,2.0,apamplonab
Mati,2000556504.0,9.83,13.12,11.5,7.5,6.67,7.67,10.5,9.75,badalona
Ale Sánchez,2000512877.0,1.17,10.25,13.0,11.0,8.33,9.67,7.0,7.83,badalona
Gustavo Abizanda,67293305.0,1.33,9.75,12.5,11.0,7.33,11.67,6.5,8.67,badalona
Juan Ramón Acosta,2000680229.0,1.0,9.62,11.0,8.83,9.67,10.83,4.75,9.58,badalona
Julio Nsi,2000629231.0,7.17,13.88,15.5,14.33,14.0,13.5,10.0,11.83,eibar
Bernardo,2000440739.0,1.17,11.25,14.0,12.0,9.33,11.33,12.0,10.17,eibar
Jorge Álvarez,2000202563.0,1.33,11.75,15.0,11.0,8.67,12.0,13.0,12.5,eibar
Manuel Jesús Romero,2000194994.0,11.67,14.5,13.5,9.0,8.67,10.33,6.5,14.17,eibar
Elliot,67256517.0,5.0,11.25,13.5,12.67,10.67,12.33,9.5,11.0,eibar
Iván Calero,67176056.0,12.67,8.75,9.0,12.33,11.0,12.0,9.0,11.83,eibar
Cristo,67211796.0,3.33,11.0,15.0,14.0,12.67,14.67,5.5,9.83,eibar
Manuel García,2000633004.0,0.0,10.25,12.5,9.33,8.67,12.67,13.25,6.5,girona
Miguel Rodríguez,2000192674.0,4.83,13.0,12.5,12.67,9.33,13.67,9.0,9.67,girona
Echu,67229627.0,2.33,9.0,11.0,10.33,11.0,11.0,6.5,10.5,hospitalet
Roberto Proietti,2000514073.0,3.0,14.0,14.5,8.0,8.0,11.0,9.0,8.0,hospitalet
Carlos,2000193994.0,2.33,12.0,14.0,9.33,14.0,12.67,9.0,9.5,leonesa
Jaime Reques,2000077283.0,6.17,9.25,13.5,13.33,9.33,11.67,9.5,9.0,leonesa
Roberto Olabe,67183968.0,5.83,8.75,10.5,11.67,10.67,10.67,8.0,10.75,leonesa
Kim Tae-Young,2000194479.0,2.0,10.0,14.0,10.33,15.33,14.0,11.0,11.42,leonesa
Hugo Neves,83333462.0,1.0,12.5,15.0,10.0,10.33,12.67,4.25,9.25,leonesa
