Player,UID,CD,BPD,NNCB,Lib
Andoni Hernández,2000662653.0,8.15,8.4,9.1,7.3
Asier Goñi,2000570279.0,11.65,10.75,12.25,8.65
Eduardo Garai,2000662654.0,12.85,12.1,12.65,11.65
Aritz Núñez,2000570283.0,6.25,6.5,6.75,7.2
Beñat Unzueta,2000629411.0,5.9,6.55,6.1,7.15
Gonzalo Galán,2000681437.0,6.6,6.95,7.1,7.7
Gorka Alonso,2000629412.0,5.35,6.6,5.25,7.3
Íñigo Vélez,2000662660.0,6.6,7.75,7.75,8.45
Álex Moreno,2000570281.0,4.95,5.7,4.65,5.7
José Antón Garrido,2000510692.0,4.15,4.85,3.75,5.4
Mikel Castelo,2000510693.0,10.4,9.85,10.85,8.35
Koldo Vélez,2000570278.0,7.75,8.4,8.0,9.4
Alfredo Núñez,2000570280.0,12.7,10.8,12.2,9.55
Jokin Aguirre,2000628756.0,10.05,9.65,9.8,8.8
Juan Manuel Díez,2000629228.0,8.5,9.25,9.0,10.35
Daniel Tena,2000629406.0,12.4,12.05,12.45,10.65
Aritz Imaz,2000629407.0,10.35,11.25,9.85,11.6
Iker Jiménez,2000629408.0,11.6,11.2,11.7,10.55
Josu Jauregi,2000629409.0,11.8,12.0,11.2,11.65
Fran,2000629410.0,10.65,9.9,10.8,9.8
Xabier Núñez,2000629413.0,6.85,7.7,6.9,9.2
Didier Oyarzun,2000632730.0,8.2,8.8,8.95,9.35
Iker Marco,2000632769.0,13.3,12.1,12.9,11.45
