Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
11.5,6.666666666666667,2.5,11.0,8.0,7.833333333333333,8.5,9.5,11.0,5.25,10.25,10.625,6.9,8.166666666666666,10.875,9.333333333333334,5.0,10.166666666666666,11.5,5.75
15.0,8.833333333333334,8.5,10.0,5.75,9.666666666666666,5.0,11.5,10.0,5.75,9.75,13.75,9.2,10.333333333333334,11.75,10.833333333333334,8.0,6.666666666666667,14.0,11.0
12.0,11.0,12.0,11.75,11.0,14.5,9.125,12.5,11.75,10.0,12.0,12.125,12.1,12.5,12.5,13.666666666666666,10.25,9.833333333333334,9.75,11.25
13.5,8.166666666666666,3.5,4.75,8.0,8.5,7.75,6.5,4.75,12.0,5.5,8.75,8.1,4.5,12.875,7.5,8.0,8.5,9.25,5.0
12.5,6.833333333333333,4.5,4.75,11.0,10.5,8.5,5.5,4.75,12.5,5.0,6.625,8.3,3.1666666666666665,13.125,7.166666666666667,8.5,9.166666666666666,7.75,4.25
9.0,7.5,7.0,10.25,15.0,10.166666666666666,11.25,11.0,10.25,13.75,8.5,14.375,9.3,7.333333333333333,14.0,9.5,11.75,12.333333333333334,9.75,8.0
6.0,8.0,8.0,6.5,9.5,8.833333333333334,11.5,8.25,6.5,10.75,6.5,6.75,8.5,5.0,15.75,8.166666666666666,10.75,12.0,12.25,7.25
9.0,6.333333333333333,8.0,8.5,14.0,11.166666666666666,12.0,9.5,8.5,12.0,8.25,11.125,9.1,6.5,13.875,8.666666666666666,11.5,12.833333333333334,10.0,7.0
16.0,8.0,12.0,4.0,11.0,7.0,8.25,10.0,4.0,11.5,4.0,6.875,9.0,2.6666666666666665,12.5,6.666666666666667,10.0,9.0,9.5,4.0
9.5,7.666666666666667,7.5,4.75,10.0,5.0,10.75,10.0,4.75,9.75,4.75,8.75,7.6,3.1666666666666665,11.125,6.666666666666667,10.25,10.833333333333334,7.5,4.75
13.5,7.666666666666667,3.5,6.75,7.5,6.666666666666667,5.875,11.0,6.75,6.5,8.75,12.375,6.5,8.0,9.625,10.833333333333334,1.5,7.833333333333333,7.5,6.75
14.5,9.166666666666666,5.5,7.0,12.5,12.5,12.0,11.0,7.0,15.5,9.0,11.875,11.5,7.166666666666667,15.625,9.833333333333334,11.0,13.333333333333334,12.0,6.75
15.5,10.833333333333334,6.5,11.75,8.75,11.166666666666666,7.25,16.0,11.75,7.25,11.25,15.5,11.1,11.666666666666666,10.0,14.166666666666666,8.25,9.666666666666666,12.25,9.75
11.0,10.666666666666666,6.0,7.75,10.5,9.0,6.5,9.75,7.75,7.0,8.5,9.375,9.8,7.833333333333333,14.0,9.833333333333334,7.5,7.666666666666667,11.75,10.5
7.5,12.166666666666666,12.0,11.0,14.5,10.5,13.25,12.25,11.0,12.0,9.0,12.125,11.9,8.666666666666666,13.75,11.0,11.0,13.833333333333334,12.75,8.75
16.5,8.5,6.5,11.0,7.5,11.166666666666666,5.25,11.0,11.0,7.0,11.0,9.875,9.3,12.5,11.625,11.5,5.5,7.0,12.0,9.0
16.0,15.5,7.5,12.0,13.5,13.333333333333334,11.75,15.0,12.0,10.5,13.25,11.0,14.8,11.0,14.0,14.166666666666666,16.0,13.166666666666666,14.5,13.0
12.5,8.833333333333334,8.5,12.25,12.75,10.5,11.125,13.5,12.25,11.0,11.75,14.0,9.5,11.0,12.5,12.5,8.75,12.333333333333334,13.75,10.75
9.5,13.5,11.5,10.0,11.75,11.333333333333334,8.125,14.25,10.0,9.75,10.5,10.375,12.2,10.166666666666666,13.75,14.0,7.5,9.333333333333334,13.0,12.5
4.5,10.833333333333334,9.0,12.5,9.5,9.0,10.0,13.75,12.5,7.0,9.0,13.75,10.0,11.166666666666666,13.875,12.333333333333334,7.5,9.833333333333334,14.5,9.75
12.5,9.5,5.5,5.25,13.5,13.833333333333334,12.5,11.5,5.25,13.0,12.0,9.625,11.9,3.5,13.625,11.166666666666666,11.5,13.666666666666666,11.5,7.25
11.5,12.0,5.5,9.0,12.5,10.333333333333334,13.0,13.5,9.0,10.25,9.0,14.875,11.4,6.0,12.625,12.333333333333334,11.75,13.5,12.0,11.0
15.5,11.833333333333334,13.5,10.5,9.25,11.0,7.5,11.75,10.5,8.75,13.0,10.375,11.0,11.166666666666666,12.75,12.333333333333334,10.5,10.0,11.5,15.0
