Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Andoni Hernández,2000662653,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Asier Goñi,2000570279,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Eduardo Garai,2000662654,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Aritz Núñez,2000570283,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Beñat Unzueta,2000629411,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Gonzalo Galán,2000681437,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Gorka Alonso,2000629412,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Íñigo Vélez,2000662660,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Álex Moreno,2000570281,0,0,0,0,0,0,0,0,0,0,1,0,0,1
José Antón Garrido,2000510692,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Mikel Castelo,2000510693,0,0,1,1,0,1,1,0,1,0,0,0,0,0
Koldo Vélez,2000570278,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Alfredo Núñez,2000570280,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Jokin Aguirre,2000628756,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Juan Manuel Díez,2000629228,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Daniel Tena,2000629406,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Aritz Imaz,2000629407,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Iker Jiménez,2000629408,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Josu Jauregi,2000629409,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Fran,2000629410,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Xabier Núñez,2000629413,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Didier Oyarzun,2000632730,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Iker Marco,2000632769,0,0,1,0,0,0,0,0,0,0,0,0,0,0
