Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Ander Cantero,2000200392.0,13.5,10.0,2.0,10.75,9.5,7.67,7.33,10.75,10.75,5.5,9.25,10.0,8.6,7.67,11.38,10.5,2.0,9.75,13.75,3.67,3.5
Miguel Loureiro,67210521.0,9.0,13.33,12.0,10.75,9.25,10.17,10.67,13.75,10.75,9.5,11.5,13.38,11.5,11.17,13.75,13.5,12.0,10.5,10.5,5.33,12.0
Isaac,2000681907.0,14.5,13.83,12.5,10.5,11.75,12.0,8.5,13.75,10.5,11.25,11.0,12.12,12.6,11.5,10.25,14.0,10.5,10.75,10.0,6.67,16.5
Anthony Maillard,2000662437.0,7.0,11.0,14.0,10.75,10.75,13.5,9.0,11.5,10.75,11.0,11.0,13.0,11.7,10.83,12.75,12.67,11.0,12.0,14.75,8.67,15.0
Hugo Bueno,28127371.0,13.0,9.0,10.0,13.0,11.5,11.67,12.67,11.5,13.0,11.5,11.0,8.75,10.6,12.33,12.5,10.67,7.0,13.0,10.5,7.33,11.0
José María Navarro,2000571796.0,11.0,10.67,9.0,9.75,11.5,9.83,10.5,9.25,9.75,9.25,10.25,11.0,10.1,7.83,14.25,9.83,11.0,9.75,11.25,9.0,3.0
Jesús Díaz,2000437762.0,6.0,13.5,9.0,12.5,16.25,15.33,11.83,15.5,12.5,15.5,12.5,11.5,14.6,11.33,14.38,14.83,14.5,15.0,14.0,12.0,8.5
Amador,2000440900.0,11.0,13.0,7.0,8.0,7.5,11.33,8.33,14.5,8.0,7.0,10.5,13.75,12.0,9.33,13.5,14.0,9.0,11.0,13.5,7.0,10.0
Jofre,67277677.0,3.0,10.33,8.0,8.0,13.0,12.5,9.33,12.25,8.0,11.0,8.5,8.75,11.5,7.83,12.12,11.83,15.0,10.0,7.25,9.17,8.5
Héctor Badía,2000569609.0,8.5,13.17,8.5,4.25,12.75,14.83,10.33,12.75,4.25,12.25,8.0,8.62,14.1,2.83,13.75,13.0,12.5,11.25,9.0,9.5,7.5
Miguel Embid,2000570458.0,15.5,10.33,10.0,6.75,13.75,13.5,10.67,9.5,6.75,16.0,7.0,8.12,11.7,6.33,14.0,10.67,16.0,14.0,10.75,10.33,4.0
Miguel López,2000714751.0,13.0,2.83,0.0,3.75,1.5,7.17,1.5,6.5,3.75,0.0,5.5,2.62,4.3,2.5,8.25,7.17,0.0,2.25,3.0,0.0,0.0
Emiliano Amor,14080997.0,10.0,12.67,14.0,11.5,9.5,9.67,10.67,11.5,11.5,7.5,10.0,14.0,11.0,11.33,10.0,11.67,8.0,11.5,12.0,8.0,13.0
Francisco Javier Sáiz,2000679747.0,7.0,3.0,10.0,5.5,12.0,6.67,11.0,6.0,5.5,10.0,5.5,9.5,5.8,3.67,6.75,4.0,11.0,11.0,6.0,7.0,0.0
Víctor Campuzano,67214684.0,5.5,13.33,8.0,10.0,12.75,15.17,12.67,13.25,10.0,13.0,12.0,9.25,13.7,8.83,11.75,14.5,16.0,14.0,8.0,11.17,6.5
Miguel Gómez,2000055060.0,16.0,12.0,14.0,12.0,11.0,8.5,12.0,14.0,12.0,7.5,10.0,12.0,10.5,11.67,9.5,12.33,9.0,11.0,8.5,9.0,11.0
Antonio Poo,2000076428.0,8.0,10.33,9.0,8.5,10.0,8.0,5.33,11.5,8.5,7.5,10.0,15.0,9.4,8.67,15.25,10.33,7.0,8.0,10.5,5.0,14.0
Èric Montes,95036004.0,7.0,12.67,13.0,8.0,9.5,10.33,6.0,14.0,8.0,9.0,8.5,14.0,11.2,9.67,11.25,13.67,9.0,9.0,9.5,6.33,16.0
Adrián Tellado,67260179.0,2.0,9.67,12.0,6.5,13.0,11.0,10.0,11.0,6.5,10.0,13.0,11.25,10.6,4.33,11.25,10.33,11.0,10.5,9.0,6.67,14.0
Harvey Woods,2000031620.0,9.0,9.33,10.0,9.5,11.0,10.67,9.0,14.0,9.5,9.5,7.5,13.75,11.0,7.0,12.5,11.0,4.0,8.5,12.5,9.0,2.5
Sergi Puig,67247577.0,14.0,10.0,0.0,10.0,6.5,10.0,5.0,9.5,10.0,4.0,11.0,8.0,9.6,6.67,10.25,10.33,2.5,7.5,8.5,2.67,0.0
Martí Vilà,67258410.0,14.0,7.17,7.5,4.0,9.75,8.83,5.5,11.0,4.0,4.75,0.0,4.62,7.0,7.0,6.12,11.67,0.0,8.25,2.5,3.17,14.5
Bryan Zaragoza,2000054263.0,8.0,7.33,4.0,4.0,14.5,8.67,13.0,7.0,4.0,14.5,6.0,11.0,8.4,2.67,12.75,6.67,10.0,13.5,10.5,8.0,6.0
Carlos Castro,2000444086.0,17.0,8.0,11.5,11.0,7.0,6.0,4.0,7.5,11.0,5.5,12.25,12.75,5.7,10.33,12.75,9.5,0.0,6.0,16.0,2.67,14.5
Jon Ander Garai,2000684546.0,7.0,12.0,8.0,6.0,16.0,8.0,11.33,14.5,6.0,14.0,6.0,11.5,12.0,4.0,10.75,9.67,12.0,14.0,6.0,12.0,0.0
