Player,UID,WM,W,DW,IW,IF,WG
Ander Cantero,2000200392.0,6.7,6.45,7.55,7.8,7.0,6.67
Miguel Loureiro,67210521.0,11.6,11.7,12.3,11.1,10.4,11.5
Isaac,2000681907.0,11.3,10.75,12.45,11.7,10.55,11.21
Anthony Maillard,2000662437.0,10.45,9.95,11.25,11.85,11.35,10.04
Hugo Bueno,28127371.0,11.0,11.4,10.9,10.9,10.0,11.42
José María Navarro,2000571796.0,10.0,11.3,7.8,10.95,10.85,11.08
Jesús Díaz,2000437762.0,13.25,13.7,11.85,14.45,14.0,12.67
Amador,2000440900.0,11.0,11.3,12.3,11.2,10.6,10.92
Jofre,67277677.0,11.2,11.35,9.35,11.75,11.65,10.38
Héctor Badía,2000569609.0,10.85,12.55,8.2,12.1,11.3,11.88
Miguel Embid,2000570458.0,10.35,12.35,8.0,12.75,12.45,12.42
Miguel López,2000714751.0,2.65,2.45,3.15,3.5,3.5,3.12
Emiliano Amor,14080997.0,10.4,9.4,11.5,10.5,9.9,9.83
Francisco Javier Sáiz,2000679747.0,8.8,8.7,4.3,9.7,9.3,8.67
Víctor Campuzano,67214684.0,11.85,11.8,10.65,13.3,13.1,10.96
Miguel Gómez,2000055060.0,11.3,9.65,11.6,10.3,9.8,10.54
Antonio Poo,2000076428.0,9.4,10.3,9.3,9.1,8.2,10.0
Èric Montes,95036004.0,10.5,9.8,11.2,10.4,9.5,9.83
Adrián Tellado,67260179.0,10.7,10.8,8.6,10.1,9.9,10.17
Harvey Woods,2000031620.0,10.55,11.8,8.45,10.4,10.5,11.42
Sergi Puig,67247577.0,4.85,6.05,7.0,7.05,6.05,6.21
Martí Vilà,67258410.0,6.3,4.25,7.35,6.25,6.25,5.33
Bryan Zaragoza,2000054263.0,10.8,12.0,7.2,11.0,10.7,11.0
Carlos Castro,2000444086.0,7.4,7.75,10.15,6.7,6.7,8.83
Jon Ander Garai,2000684546.0,11.1,11.7,6.1,11.9,11.1,11.0
