Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Josema,2000438803,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Atakan Karazor,92074021,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Mikel Bengoetxea,2000510871,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Diego,2000574102,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Álex Lillo,2000438804,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Iñaki Díez,2000438806,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Antxón Arregi,2000570451,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Javier Zubizarreta,2000570450,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Víctor Sarriegi,2000570454,0,0,0,0,0,0,0,1,0,0,1,1,1,1
Noel López,2000053498,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Peio Arana,2000438809,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Iñigo Llorente,2000510870,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Lander Goñi,2000510872,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Asier Galán,2000510874,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Adrián Iglesias,2000510876,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Iosu Pérez,2000510877,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Ignacio Amorrortu,2000629736,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gorka Santamaría,2000629739,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Marcos Goñi,2000629740,0,0,0,0,0,0,0,0,1,0,0,1,1,0
