Player,UID,WM,W,DW,IW,IF,WG
Josema,2000438803.0,3.2,3.65,4.2,4.35,4.35,4.17
Atakan Karazor,92074021.0,10.85,9.15,11.85,10.9,10.1,9.88
Mikel Bengoetxea,2000510871.0,11.4,11.3,12.6,11.0,9.8,11.67
Diego,2000574102.0,9.45,7.9,11.15,9.7,9.15,8.42
Álex Lillo,2000438804.0,11.0,9.7,9.8,12.2,11.6,9.67
Iñaki Díez,2000438806.0,12.5,13.65,9.35,11.7,11.2,12.71
Antxón Arregi,2000570451.0,10.4,11.3,4.4,12.45,12.15,11.33
Javier Zubizarreta,2000570450.0,12.15,12.8,8.95,11.3,11.15,11.54
Víctor Sarriegi,2000570454.0,11.7,12.05,8.25,12.1,11.6,11.92
Noel López,2000053498.0,9.2,11.1,6.3,10.9,11.6,11.67
Peio Arana,2000438809.0,11.5,12.2,11.1,12.2,11.9,11.67
Iñigo Llorente,2000510870.0,9.65,9.05,9.65,9.55,9.55,8.29
Lander Goñi,2000510872.0,10.8,9.8,7.5,12.25,11.7,9.54
Asier Galán,2000510874.0,8.3,11.7,4.65,8.0,8.5,10.75
Adrián Iglesias,2000510876.0,8.2,9.25,4.1,9.25,8.6,9.17
Iosu Pérez,2000510877.0,9.25,9.85,11.05,9.9,9.15,9.46
Ignacio Amorrortu,2000629736.0,8.95,11.05,4.05,8.2,9.1,11.12
Gorka Santamaría,2000629739.0,11.4,11.7,9.1,11.2,11.5,11.75
Marcos Goñi,2000629740.0,9.5,11.2,4.9,10.9,10.3,10.75
