Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Martín Alonso,2000681854.0,8.5,12.0,9.5,6.25,9.0,11.33,9.17,12.0,6.25,10.75,9.0,14.38,11.4,4.17,14.38,12.33,9.0,10.0,12.0,5.17,11.5
Pascual,2000632678.0,11.0,6.33,14.0,6.5,14.0,8.0,9.0,9.0,6.5,13.0,6.5,7.5,8.6,4.33,13.75,6.0,16.0,11.5,10.0,10.33,0.0
Iván,2000574699.0,10.0,7.0,7.0,6.0,9.0,1.17,9.0,4.5,6.0,5.0,0.0,8.25,4.9,4.0,6.25,3.0,0.0,11.0,5.5,7.67,8.0
Mati,2000556504.0,15.5,5.5,5.5,8.75,7.75,11.17,8.17,7.5,8.75,8.0,8.25,12.38,7.9,9.0,12.0,8.5,8.5,8.5,12.75,8.5,9.5
Ale Sánchez,2000512877.0,10.0,6.67,4.0,3.5,10.0,10.67,10.33,8.5,3.5,10.0,6.5,11.0,9.0,2.33,12.5,8.0,11.0,11.5,7.5,7.33,3.5
Christian Díaz,2000510073.0,15.0,13.33,8.0,8.5,5.0,10.0,3.33,12.5,8.5,5.0,10.0,14.75,11.4,9.67,11.75,12.67,5.0,5.0,11.5,3.0,7.0
Jesus,2000443702.0,14.5,2.17,5.5,5.0,13.25,9.0,11.5,7.75,5.0,15.0,5.0,6.75,6.7,3.33,4.5,5.17,10.5,14.0,4.5,10.83,0.0
Jaume Ramón,2000198629.0,18.5,2.17,0.0,8.5,1.5,5.67,2.67,5.25,8.5,0.0,7.5,5.25,3.4,5.67,9.88,5.67,0.0,4.0,8.0,0.0,0.0
Aitor Añibarro,2000035882.0,10.5,5.33,8.5,3.75,10.0,7.67,5.33,9.0,3.75,11.5,3.75,6.12,7.8,2.5,12.38,6.0,15.5,7.0,8.25,9.33,0.0
Josh Pérez,72046491.0,8.0,8.33,8.0,4.0,10.5,10.0,9.0,9.0,4.0,11.0,7.5,8.25,9.4,2.67,12.75,8.67,12.0,9.5,8.0,9.0,3.0
Jesús María Lope,2000680621.0,15.0,7.0,8.0,9.5,8.0,7.0,5.67,7.0,9.5,5.5,10.0,8.75,5.6,11.0,4.25,9.33,0.0,8.5,4.5,3.67,12.0
Ramón López,2000679928.0,11.0,2.33,5.0,2.5,9.5,8.0,8.0,5.5,2.5,14.0,2.5,9.5,6.2,1.67,5.25,3.67,11.0,10.0,3.0,10.0,0.0
Roger Colomina,2000015276.0,10.5,7.67,5.5,3.25,11.5,9.17,8.0,11.0,3.25,12.0,3.25,9.38,10.1,2.17,11.38,7.33,12.5,10.5,7.25,8.33,0.0
Jesús García,2000443709.0,13.5,5.33,4.5,9.75,8.75,9.0,6.33,11.0,9.75,6.25,8.75,7.25,6.5,10.0,2.75,10.83,0.0,9.5,6.0,4.17,6.5
Eugenio,2000196447.0,13.0,8.33,6.0,10.5,13.5,10.67,8.67,11.5,10.5,11.5,10.5,10.25,9.6,10.67,11.0,10.67,4.0,13.0,12.5,7.33,8.0
Javier Vidorreta,2000066246.0,11.0,7.33,15.0,5.0,9.5,9.0,5.67,8.5,5.0,9.5,8.0,8.0,8.2,3.33,11.0,8.33,14.0,6.0,9.5,10.0,2.0
Ángel Rueda,2000053923.0,10.5,3.83,11.0,12.0,3.5,6.33,3.67,9.75,12.0,2.5,8.5,10.0,5.0,12.17,12.38,8.33,0.0,5.5,13.0,2.0,15.0
Gustavo Abizanda,67293305.0,7.0,8.67,6.0,1.5,12.5,12.33,11.33,11.0,1.5,11.5,6.0,8.75,10.8,1.0,11.75,10.33,13.0,11.5,6.5,8.33,4.0
Óscar Coll,67277671.0,1.5,8.0,5.5,5.75,12.5,7.67,12.17,10.5,5.75,9.75,5.75,9.5,9.4,3.83,11.88,7.0,10.0,14.5,8.5,6.83,0.0
Iván Gil,67277668.0,3.0,9.33,7.0,6.5,11.5,10.67,10.67,10.5,6.5,10.5,9.0,12.25,10.8,4.33,12.25,9.0,10.0,13.5,7.0,10.33,7.0
Jeremy Socorro,67275291.0,2.5,9.0,8.0,9.5,9.5,10.33,5.0,12.0,9.5,7.5,11.0,11.62,10.2,9.0,12.75,10.33,9.0,7.5,8.0,3.5,14.0
Esteban Navarro,2000685451.0,11.0,4.67,7.0,5.0,11.5,5.33,8.67,3.5,5.0,6.0,0.0,5.25,6.0,3.33,5.25,2.33,0.0,10.0,4.0,9.67,10.0
Txomin Zubiri,2000439530.0,11.0,6.33,0.0,8.0,5.0,8.67,4.67,14.5,8.0,3.0,12.0,10.0,7.4,5.33,8.25,12.33,0.0,7.0,11.0,2.0,0.0
Juan Ramón Acosta,2000680229.0,6.5,7.83,3.0,2.75,10.5,11.17,8.83,11.5,2.75,11.5,5.5,8.38,9.7,1.83,11.12,10.5,16.5,10.5,6.25,8.33,3.0
