Player,UID,AMC,AP,T,SS,AM,EG
Martín Alonso,2000681854.0,10.05,10.95,10.05,10.45,10.55,11.5
Pascual,2000632678.0,10.3,11.7,10.3,10.6,10.7,12.4
Iván,2000574699.0,7.6,7.95,7.6,6.2,6.7,7.05
Mati,2000556504.0,8.95,9.15,8.95,9.65,9.45,9.85
Ale Sánchez,2000512877.0,9.6,10.6,9.6,10.0,9.8,10.8
Christian Díaz,2000510073.0,10.1,9.3,10.1,7.9,9.2,8.6
Jesus,2000443702.0,10.25,11.4,10.25,11.8,11.6,11.2
Jaume Ramón,2000198629.0,3.95,3.0,3.95,3.65,3.65,2.9
Aitor Añibarro,2000035882.0,8.75,9.9,8.75,9.8,9.55,10.45
Josh Pérez,72046491.0,9.4,10.0,9.4,9.9,9.7,10.3
Jesús María Lope,2000680621.0,7.3,6.0,7.3,6.7,6.7,4.6
Ramón López,2000679928.0,8.2,9.5,8.2,9.6,9.7,9.9
Roger Colomina,2000015276.0,10.25,11.95,10.25,10.0,10.45,12.2
Jesús García,2000443709.0,7.95,7.0,7.95,7.5,7.5,4.8
Eugenio,2000196447.0,10.4,10.2,10.4,9.3,10.0,10.2
Javier Vidorreta,2000066246.0,9.0,9.3,9.0,10.4,9.7,9.6
Ángel Rueda,2000053923.0,5.95,5.1,5.95,5.2,5.2,4.55
Gustavo Abizanda,67293305.0,11.3,11.7,11.3,11.2,11.6,11.4
Óscar Coll,67277671.0,10.7,11.75,10.7,9.65,10.65,11.3
Iván Gil,67277668.0,10.9,11.6,10.9,10.1,11.0,11.2
Jeremy Socorro,67275291.0,9.6,9.5,9.6,7.8,8.7,8.7
Esteban Navarro,2000685451.0,7.1,8.7,7.1,6.6,6.4,8.0
Txomin Zubiri,2000439530.0,8.1,6.5,8.1,6.2,6.2,5.1
Juan Ramón Acosta,2000680229.0,10.0,10.6,10.0,10.65,10.5,10.25
