Player,UID,FB,WB,IWB,CWB,NNFB
Martín Alonso,2000681854.0,10.05,9.6,8.55,9.81,9.6
Pascual,2000632678.0,5.5,7.9,5.5,8.92,4.2
Iván,2000574699.0,7.9,7.5,7.7,8.08,6.3
Mati,2000556504.0,10.6,10.6,9.75,10.0,11.25
Ale Sánchez,2000512877.0,7.55,8.25,6.75,8.81,6.65
Christian Díaz,2000510073.0,12.1,9.1,11.0,8.23,12.8
Jesus,2000443702.0,5.0,8.05,6.0,9.12,4.85
Jaume Ramón,2000198629.0,5.65,4.05,4.7,3.96,5.5
Aitor Añibarro,2000035882.0,4.95,7.5,4.55,7.73,3.8
Josh Pérez,72046491.0,7.2,7.9,6.4,8.31,5.7
Jesús María Lope,2000680621.0,11.3,7.9,10.0,7.77,11.0
Ramón López,2000679928.0,4.8,7.8,4.7,8.0,4.4
Roger Colomina,2000015276.0,5.65,7.4,5.75,8.27,3.7
Jesús García,2000443709.0,8.9,6.35,8.4,6.73,9.8
Eugenio,2000196447.0,10.1,8.3,10.0,9.23,10.0
Javier Vidorreta,2000066246.0,6.7,7.7,6.2,7.77,6.0
Ángel Rueda,2000053923.0,10.85,9.0,8.5,8.04,11.15
Gustavo Abizanda,67293305.0,7.8,8.7,7.8,9.38,6.7
Óscar Coll,67277671.0,5.55,7.25,6.45,8.85,4.65
Iván Gil,67277668.0,7.5,7.9,7.7,8.85,6.6
Jeremy Socorro,67275291.0,10.5,9.1,9.3,9.0,9.3
Esteban Navarro,2000685451.0,7.4,7.3,7.2,8.0,5.7
Txomin Zubiri,2000439530.0,7.2,3.7,6.2,4.23,7.2
Juan Ramón Acosta,2000680229.0,6.75,7.75,6.05,8.31,5.3
