Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Martín Alonso,2000681854.0,0.0,12.62,14.0,11.42,0.0,0.0,0.0,0.0
Pascual,2000632678.0,0.0,12.5,13.0,5.5,0.0,0.0,0.0,0.0
Iván,2000574699.0,0.0,5.75,12.5,3.67,0.0,0.0,0.0,0.0
Mati,2000556504.0,3.75,13.12,11.5,9.75,4.0,2.0,2.25,2.75
Ale Sánchez,2000512877.0,0.0,10.25,13.0,7.83,0.0,0.0,0.0,0.0
Christian Díaz,2000510073.0,0.0,12.25,11.0,13.33,0.0,0.0,0.0,0.0
Jesus,2000443702.0,0.0,6.62,9.0,3.42,0.0,0.0,0.0,0.0
Jaume Ramón,2000198629.0,10.5,6.38,10.25,6.5,9.5,3.5,10.25,10.0
Aitor Añibarro,2000035882.0,0.0,10.88,12.0,4.75,0.0,0.0,0.0,0.0
Josh Pérez,72046491.0,0.0,10.25,12.5,8.0,0.0,0.0,0.0,0.0
Jesús María Lope,2000680621.0,0.0,6.0,8.5,9.17,0.0,0.0,0.0,0.0
Ramón López,2000679928.0,0.0,4.75,10.5,4.0,0.0,0.0,0.0,0.0
Roger Colomina,2000015276.0,0.0,9.12,11.0,6.58,0.0,0.0,0.0,0.0
Jesús García,2000443709.0,0.0,6.38,5.5,7.83,0.0,0.0,0.0,0.0
Eugenio,2000196447.0,0.0,11.75,10.0,10.83,0.0,0.0,0.0,0.0
Javier Vidorreta,2000066246.0,0.0,11.75,11.0,7.83,0.0,0.0,0.0,0.0
Ángel Rueda,2000053923.0,0.0,11.0,14.25,8.92,0.0,0.0,0.0,0.0
Gustavo Abizanda,67293305.0,0.0,9.75,12.5,8.67,0.0,0.0,0.0,0.0
Óscar Coll,67277671.0,0.0,8.88,14.5,5.67,0.0,0.0,0.0,0.0
Iván Gil,67277668.0,0.0,8.75,14.0,9.17,0.0,0.0,0.0,0.0
Jeremy Socorro,67275291.0,0.0,9.5,14.0,11.58,0.0,0.0,0.0,0.0
Esteban Navarro,2000685451.0,0.0,5.5,10.5,2.17,0.0,0.0,0.0,0.0
Txomin Zubiri,2000439530.0,12.5,9.0,5.5,12.67,14.0,2.5,9.5,10.5
Juan Ramón Acosta,2000680229.0,0.0,9.62,11.0,9.58,0.0,0.0,0.0,0.0
