Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Nacho Méndez,67248345.0,12.8,12.6,10.6,12.9,13.0,12.6,12.6,11.9
Julio Nsi,2000629231.0,12.75,12.45,10.8,13.05,12.4,13.15,13.75,11.25
Dorian Vera,2000514439.0,6.45,6.15,5.65,5.8,5.8,6.2,6.3,6.8
Javier Alonso,2000443218.0,8.2,8.9,7.6,8.9,8.6,11.1,11.9,8.0
Bernardo,2000440739.0,10.1,10.0,8.15,10.8,10.5,11.4,11.8,9.65
Jorge Álvarez,2000202563.0,10.0,8.8,9.4,9.6,9.6,10.4,11.2,8.3
Fran,2000666004.0,12.45,11.05,12.75,13.05,12.75,11.2,11.35,12.45
Oriol Valentín,2000632214.0,11.15,9.8,12.65,10.9,11.1,10.05,10.5,12.25
Babacar Faye,2000197156.0,12.7,12.5,10.5,12.8,13.2,13.0,13.6,11.8
Jonay Prieto,2000197151.0,11.8,11.05,9.6,11.75,12.35,12.85,13.45,10.35
Manuel Jesús Romero,2000194994.0,12.0,11.2,13.1,12.3,12.1,11.1,12.2,12.7
Elliot,67256517.0,10.8,11.1,9.0,10.7,10.8,12.3,12.4,9.7
Iván Calero,67176056.0,12.4,12.5,11.0,12.0,12.1,12.2,11.6,12.3
Antonio Sánchez,2000570832.0,10.05,9.55,12.85,10.0,10.2,10.0,10.1,11.5
Stefan Bajčetić,2000082598.0,9.5,9.6,11.3,10.3,10.1,9.6,9.7,11.3
Xisco Cardona,2000572821.0,12.35,11.85,10.65,13.25,13.55,12.0,12.45,11.85
Juan Pérez,67217545.0,10.4,8.55,10.3,9.05,10.0,8.55,8.15,9.6
Cristo,67211796.0,10.8,11.5,8.1,11.1,11.1,13.3,13.0,9.3
Álex López,67257948.0,12.9,12.7,11.4,12.4,12.6,13.2,12.3,12.5
Lubomir Toth,2000626733.0,11.0,11.4,9.8,11.6,11.5,12.0,13.0,10.7
