Player,UID,Position
Nacho Méndez,67248345,"M (C), AM (LC)"
Julio Nsi,2000629231,"M (L), AM (RLC), ST (C)"
Dorian Vera,2000514439,GK
Javier Alonso,2000443218,"AM (RC), ST (C)"
Bernardo,2000440739,"M (L), AM (RLC), ST (C)"
Jorge Álvarez,2000202563,"WB (R), M (L), AM (RL), ST (C)"
Fran,2000666004,"DM, M (C)"
Oriol Valentín,2000632214,D (RC)
Babacar Faye,2000197156,"M (R), AM (RLC)"
Jonay Prieto,2000197151,M/AM (C)
Manuel Jesús Romero,2000194994,D/WB/M/AM (L)
Elliot,67256517,"M (L), AM (RL), ST (C)"
Iván Calero,67176056,"D/WB/M (RL), AM (R)"
Antonio Sánchez,2000570832,"D (C), DM, M (C)"
Stefan Bajčetić,2000082598,D (C)
Xisco Cardona,2000572821,M/AM (C)
Juan Pérez,67217545,GK
Cristo,67211796,"M (L), AM (RLC), ST (C)"
Álex López,67257948,"D (C), DM, M (C)"
Lubomir Toth,2000626733,"M (RC), AM (R)"
