Player,UID,CD,BPD,NNCB,Lib
Yanis Mohamed,2000710637.0,13.7,12.4,13.2,11.4
Manuel García,2000633004.0,4.95,4.95,5.35,5.2
Pablo López,2000612702.0,10.3,9.4,10.2,9.8
Vicente Jové,2000574547.0,6.45,7.4,6.35,8.65
Diego Mercado,14160026.0,10.6,10.5,10.9,11.6
Miguel Rodríguez,2000192674.0,7.25,8.45,7.45,8.75
Eduardo Bautista,2000207175.0,6.7,7.3,7.1,7.9
Antonio Manuel Bazán,2000714138.0,4.2,5.7,4.15,7.25
Jordi Busquets,2000574550.0,5.85,5.85,5.75,5.75
Morris Pietranera,2000568425.0,9.0,9.7,9.3,10.6
Giancarlo Perea,2000512704.0,7.1,8.1,7.8,9.1
Sullivan Mayele,2000506525.0,11.8,11.5,11.5,12.3
Mikel Santamaría,2000201716.0,10.4,10.4,10.9,11.0
Yeray Ortega,2000199817.0,13.35,12.55,12.65,11.5
Jon Magunazelaia,2000082492.0,8.9,9.8,8.9,10.7
Javi Cueto,67279676.0,8.0,9.0,8.4,10.4
Adrián Ortolà,67115824.0,8.1,8.7,7.8,7.5
Andrés Romero,2000193995.0,11.8,10.55,12.05,8.35
Ibrahima Kébé,2000024313.0,12.8,12.1,12.2,11.7
Lluís,2000443359.0,6.4,6.8,7.0,5.5
