Player,UID,AMC,AP,T,SS,AM,EG
Ignacio Otaño,67240441.0,6.3,5.6,6.3,5.7,5.7,4.3
Diogo Fonseca,2000197949.0,8.5,7.35,8.5,7.2,7.2,4.55
Carlos Lourenço,2000190859.0,9.6,8.8,9.6,9.5,9.7,9.5
Luis Iglesias,2000440882.0,10.5,9.7,10.5,8.4,9.5,8.7
Chechu,2000629747.0,10.4,10.4,10.4,8.7,9.2,9.7
Isma Aizpiri,29164025.0,11.3,10.8,11.3,10.8,11.2,9.9
Xabier Cárdenas,67220146.0,10.9,10.9,10.9,9.8,10.8,9.9
Echu,67229627.0,10.0,10.4,10.0,10.3,10.6,10.5
Jaume Pérez,2000198633.0,10.3,10.8,10.3,11.2,10.3,10.4
Roberto Proietti,2000514073.0,9.1,9.6,9.1,9.4,9.6,10.9
Israel,2000631088.0,12.05,12.65,12.05,12.55,12.75,13.35
Jorge Bríngola,2000512567.0,3.4,2.65,3.4,3.8,3.8,2.2
Vladimir Fati,2000680262.0,8.5,7.4,8.5,6.8,6.8,4.5
Diego Muñoz,2000439850.0,7.15,8.0,7.15,7.2,7.05,8.75
Julen Gurrutxaga,2000682714.0,10.0,10.8,10.0,11.05,10.4,11.25
José Antonio Zubillaga,2000443802.0,9.0,7.85,9.0,6.65,6.65,5.15
Juan Vizcarra,2000681579.0,7.65,8.0,7.65,6.1,6.15,6.5
Edmilson Santos,83169922.0,9.7,10.85,9.7,9.6,9.9,10.85
Bilal Aceña,2000514725.0,6.7,5.85,6.7,5.95,5.95,3.85
Juan Carlos Abengózar,2000570111.0,10.0,10.6,10.0,9.55,10.45,10.4
Sandro,2000515229.0,6.35,7.2,6.35,7.1,7.1,7.2
Rafael Díaz,2000680769.0,9.45,9.75,9.45,9.65,9.85,10.3
Joaquín,2000742083.0,6.75,8.1,6.75,7.45,7.25,7.85
