Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Ignacio Otaño,67240441,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Diogo Fonseca,2000197949,0,1,1,0,1,0,0,1,1,0,0,0,0,0
Carlos Lourenço,2000190859,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Luis Iglesias,2000440882,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Chechu,2000629747,0,1,0,1,1,0,0,0,0,0,1,0,0,0
Isma Aizpiri,29164025,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Xabier Cárdenas,67220146,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Echu,67229627,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Jaume Pérez,2000198633,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Roberto Proietti,2000514073,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Israel,2000631088,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Jorge Bríngola,2000512567,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir Fati,2000680262,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Diego Muñoz,2000439850,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Julen Gurrutxaga,2000682714,0,0,0,0,0,0,0,0,0,0,0,0,0,1
José Antonio Zubillaga,2000443802,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Juan Vizcarra,2000681579,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Edmilson Santos,83169922,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Bilal Aceña,2000514725,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Juan Carlos Abengózar,2000570111,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Sandro,2000515229,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Rafael Díaz,2000680769,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Joaquín,2000742083,0,0,0,0,0,0,0,0,0,0,1,0,0,0
