Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Alejandro Ferre,2000569554.0,4.25,12.25,12.25,12.17,2.75,3.0,3.25,2.0
Juan Pablo Castellano,2000513639.0,0.0,12.12,14.0,5.83,0.0,0.0,0.0,0.0
Carlos,2000193994.0,3.0,12.0,14.0,9.5,2.5,1.5,4.5,3.0
Jaime Reques,2000077283.0,2.5,9.25,13.5,9.0,2.5,3.0,2.75,3.0
Ander Martín,2000058172.0,0.0,10.25,13.0,7.67,0.0,0.0,0.0,0.0
Marcel Mehlem,92076601.0,2.75,10.0,11.5,13.67,2.75,3.0,3.25,2.25
Unai Rementeria,67246387.0,0.0,8.88,13.5,4.58,0.0,0.0,0.0,0.0
Roberto Olabe,67183968.0,3.25,8.75,10.5,10.75,2.5,2.0,3.25,2.0
Jorge Pascual,2000019418.0,0.0,9.5,14.5,9.5,0.0,0.0,0.0,0.0
Felipe Medina,2000572053.0,3.75,14.38,13.75,10.25,3.0,3.0,4.0,2.25
Jesús García,2000513275.0,3.0,12.25,15.0,8.67,2.5,2.0,2.5,2.5
Mario Fernández,2000439263.0,2.75,11.0,11.0,10.5,3.0,4.0,2.75,4.0
José María Garai,2000437777.0,2.0,12.25,13.0,11.67,2.5,1.5,2.5,2.75
Kim Tae-Young,2000194479.0,0.0,10.0,14.0,11.42,0.0,0.0,0.0,0.0
Hugo Rincón,2000065892.0,1.5,12.0,14.5,9.92,2.75,2.5,3.5,3.0
Hugo Neves,83333462.0,0.0,12.5,15.0,9.25,0.0,0.0,0.0,0.0
Rodri,67293708.0,3.0,10.25,12.5,11.67,3.0,4.0,2.0,3.25
Aitor Paredes,67276232.0,2.25,9.5,11.5,11.0,2.25,2.5,3.0,3.25
Moustapha Diop,2000666501.0,0.0,9.5,10.5,6.5,0.0,0.0,0.0,0.0
Alan Espeche,14197823.0,2.75,10.25,14.0,10.17,2.25,3.0,2.75,2.0
Diego Llamazares,2000013481.0,10.0,8.25,12.5,7.08,9.0,3.0,13.0,9.75
Alejandro Aleñá,2000202600.0,0.0,12.88,10.0,11.92,0.0,0.0,0.0,0.0
Ángel García,2000685240.0,0.0,12.5,13.5,11.08,0.0,0.0,0.0,0.0
Abdulrahman Al-Marri,2000711945.0,11.5,8.25,13.0,5.67,11.0,8.0,15.0,8.0
