Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
José Ángel Pillado,2000743514.0,0.83,4.0,4.75,1.17,0.67,0.67,0.0,4.33
Eneko Aguilar,67297733.0,7.33,12.5,12.0,11.0,9.33,9.67,7.0,10.33
Miguel Prado,67276111.0,13.0,10.75,12.0,6.67,5.67,4.67,12.0,10.67
Juan Jesús Polo,2000194987.0,10.67,12.0,11.0,9.33,5.33,6.67,11.0,11.83
Julio Lizárraga,2000631089.0,12.33,5.5,11.0,1.33,1.33,4.67,14.5,11.0
David Mallor,2000202555.0,0.83,9.5,15.0,11.33,10.33,13.67,4.5,6.92
Rayan Arkine,2000512092.0,0.0,9.88,16.0,10.17,9.67,8.0,9.0,5.0
Amir Ibrahimovic,2000713014.0,6.0,6.75,6.5,5.17,2.5,5.5,8.75,3.58
Abderraman Rebbach,2000053956.0,3.67,8.75,13.5,11.0,6.33,11.67,9.5,9.33
Pierre Martínez,2000201715.0,1.67,13.25,13.0,12.67,10.67,13.0,7.0,9.67
David Guitián,2000048339.0,0.0,10.88,12.0,7.5,11.67,11.67,9.0,5.42
Abdel Soyinkou,2000713015.0,9.67,7.38,12.5,1.67,2.0,8.17,12.25,9.92
Sergio,2000713016.0,3.0,3.5,14.5,6.17,1.83,4.67,4.5,4.5
Erik Aguado,2000025945.0,0.83,8.5,13.5,7.33,9.33,12.0,5.0,8.83
Edu,2000713008.0,5.0,7.0,6.5,9.67,4.17,9.5,7.25,5.75
Eneko Magunazelaia,2000741128.0,9.0,3.75,8.25,3.17,2.67,5.67,8.25,7.67
Aitor Sicart,2000742072.0,4.33,3.5,8.5,11.67,1.0,6.67,8.25,2.67
Matej Simic,24046632.0,11.33,6.0,7.0,8.67,6.67,7.67,15.5,10.5
Ángel Jiménez,2000067577.0,2.0,6.5,9.5,2.33,2.33,2.67,7.5,11.5
