Player,UID,Position
José Ángel Pillado,2000743514,GK
Eneko Aguilar,67297733,"D/WB (R), M (RC), AM (R)"
Miguel Prado,67276111,D (C)
Juan Jesús Polo,2000194987,"D (C), DM, M (C)"
Julio Lizárraga,2000631089,D (RLC)
David Mallor,2000202555,"M/AM (R), ST (C)"
Rayan Arkine,2000512092,"M (RC), AM (R), ST (C)"
Amir Ibrahimovic,2000713014,"DM, M (C)"
Abderraman Rebbach,2000053956,M/AM (RL)
Pierre Martínez,2000201715,"M (C), AM (LC)"
David Guitián,2000048339,ST (C)
Abdel Soyinkou,2000713015,"D (RL), WB (R)"
Sergio,2000713016,M/AM (L)
Erik Aguado,2000025945,"M/AM (R), ST (C)"
Edu,2000713008,M (C)
Eneko Magunazelaia,2000741128,D (R)
Aitor Sicart,2000742072,M/AM (C)
Matej Simic,24046632,D (C)
Ángel Jiménez,2000067577,GK
