Player,UID,AMC,AP,T,SS,AM,EG
Ramón Juan,67258716.0,7.65,6.75,7.65,6.25,6.85,5.35
Dani,2000571661.0,10.8,10.5,10.8,8.35,9.35,9.7
Luis Alberto,2000197811.0,8.45,7.15,8.45,7.8,7.8,7.15
Juan Luis,2000664823.0,10.65,10.2,10.65,9.7,9.65,8.7
David Carmona,67188934.0,12.4,12.4,12.4,11.7,12.2,12.1
Gorka Iglesias,2000570645.0,10.6,10.0,10.6,10.0,10.2,9.7
Chisom Abdul,2000573849.0,11.9,12.7,11.9,10.3,11.2,12.25
Carlos Dotor,67293616.0,11.7,11.6,11.7,11.2,11.3,11.3
Higinio Zarzo,2000192890.0,11.2,11.7,11.2,10.8,11.4,11.3
Matti Ahonen,2000515148.0,11.4,11.7,11.4,12.2,11.9,11.4
Juanma Hernández,2000053164.0,12.2,12.6,12.2,12.6,12.3,12.4
Pablo Picón,67277686.0,3.65,3.15,3.65,4.2,4.2,2.85
Pablo Sanz,2000685487.0,6.9,6.3,6.9,6.6,6.6,4.7
Amadou Camara,2000201329.0,11.4,12.0,11.4,11.6,12.1,12.4
Lancho,2000052042.0,10.1,10.2,10.1,10.5,10.0,10.7
Yeray Zabalo,2000438356.0,11.15,10.4,11.15,9.5,9.5,9.05
Xabier Garitano,2000570830.0,8.5,7.6,8.5,7.6,7.6,7.4
Marcos Trabanco,2000016812.0,12.0,12.5,12.0,13.0,12.5,12.2
Emmanuel Attipoe,13210212.0,8.95,9.9,8.95,7.85,8.35,10.25
Ángel Alcalde,2000573845.0,8.65,9.55,8.65,7.15,7.45,8.35
Daniel,2000632726.0,10.35,10.65,10.35,11.45,11.05,10.75
Toni Moya,67223078.0,13.5,13.1,13.5,11.9,12.8,12.2
Christian Revuelta,2000632723.0,10.3,11.1,10.3,9.7,10.2,11.1
