Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
6.5,8.666666666666666,1.0,11.0,4.0,8.666666666666666,7.625,12.0,11.0,3.75,10.25,14.125,8.6,8.166666666666666,10.25,11.0,6.0,9.0,6.5,5.5
11.5,11.166666666666666,11.0,12.5,11.0,9.833333333333334,10.5,14.25,12.5,7.5,10.0,14.0,10.9,11.5,12.0,12.333333333333334,6.5,10.833333333333334,14.75,10.75
16.0,7.333333333333333,8.5,9.5,7.5,7.0,5.875,11.0,9.5,6.0,10.75,12.0,6.5,9.333333333333334,13.5,10.833333333333334,4.25,7.833333333333333,16.0,9.5
15.0,12.166666666666666,10.0,12.5,10.0,10.0,10.5,16.5,12.5,7.75,10.5,14.0,11.2,12.333333333333334,11.75,14.5,8.25,11.666666666666666,12.75,14.0
11.0,11.0,5.0,11.5,11.0,13.0,12.0,12.0,11.5,12.0,12.5,10.5,12.0,12.0,11.0,12.0,12.0,12.0,8.5,11.0
15.0,9.333333333333334,8.0,11.0,9.0,10.0,9.75,12.0,11.0,7.0,10.5,12.0,9.4,10.666666666666666,13.0,11.666666666666666,8.0,9.666666666666666,14.0,11.0
11.0,14.0,9.5,8.25,14.0,12.0,11.0,13.25,8.25,8.5,12.25,11.5,13.5,5.5,14.25,12.333333333333334,14.0,12.833333333333334,13.5,11.0
12.0,12.333333333333334,11.0,14.0,12.5,11.0,11.75,11.5,14.0,9.5,14.0,11.0,11.6,12.333333333333334,12.5,11.666666666666666,14.0,12.666666666666666,13.0,13.0
12.0,10.666666666666666,13.0,11.0,13.0,12.0,11.5,11.5,11.0,11.0,12.0,9.25,11.6,9.0,11.75,11.0,14.0,12.333333333333334,10.5,12.0
13.0,11.666666666666666,11.0,7.0,11.0,12.333333333333334,9.25,11.5,7.0,9.5,11.0,10.75,11.8,4.666666666666667,13.25,12.0,14.5,10.0,9.0,10.5
11.0,13.0,11.0,12.5,15.0,10.666666666666666,14.0,11.5,12.5,11.5,12.0,10.75,11.8,10.0,10.5,11.666666666666666,15.5,15.333333333333334,12.5,10.0
12.0,3.5,0.0,9.5,3.75,7.333333333333333,5.0,5.75,9.5,0.0,7.75,4.125,4.4,6.333333333333333,10.75,7.333333333333333,5.25,6.666666666666667,9.0,5.25
8.0,6.333333333333333,9.0,10.5,8.0,6.333333333333333,7.5,8.0,10.5,3.0,8.5,10.625,5.4,10.0,6.5,9.0,5.5,10.0,6.0,13.0
14.0,11.666666666666666,7.0,7.5,11.5,11.666666666666666,11.25,11.0,7.5,13.5,8.5,13.75,11.8,5.0,12.5,11.0,11.0,12.333333333333334,11.0,9.0
15.0,9.333333333333334,13.0,9.0,12.5,10.666666666666666,10.0,11.0,9.0,11.5,11.5,8.5,10.0,8.666666666666666,12.25,10.666666666666666,11.5,9.333333333333334,11.5,12.0
14.0,11.166666666666666,8.0,10.0,7.5,7.833333333333333,8.25,14.75,10.0,6.0,9.5,13.0,9.6,9.0,13.0,12.833333333333334,7.0,9.333333333333334,13.5,10.5
12.0,10.333333333333334,16.0,10.5,7.5,5.666666666666667,6.0,12.0,10.5,6.0,9.5,14.625,7.2,10.333333333333334,11.5,12.0,7.5,8.0,15.0,11.5
5.0,9.666666666666666,9.0,5.0,13.0,12.666666666666666,10.25,13.5,5.0,15.5,9.5,12.25,11.2,3.3333333333333335,10.5,12.666666666666666,12.5,11.333333333333334,7.5,11.5
4.5,10.0,8.5,2.75,12.25,3.1666666666666665,9.0,9.25,2.75,13.75,0.0,8.375,7.9,1.8333333333333333,14.75,6.166666666666667,3.25,7.5,7.5,5.75
4.0,8.333333333333334,6.0,4.5,11.5,3.0,8.375,6.0,4.5,5.0,0.0,8.75,6.8,3.0,5.5,4.0,0.0,8.833333333333334,6.0,4.5
16.5,7.5,12.5,4.5,10.75,11.833333333333334,10.375,11.0,4.5,9.5,7.25,11.375,9.7,3.0,9.75,10.5,9.75,10.333333333333334,13.25,4.5
7.5,15.0,9.5,13.75,13.0,11.833333333333334,13.0,14.75,13.75,10.0,13.75,14.25,13.3,11.666666666666666,12.375,14.5,13.0,14.166666666666666,12.75,13.5
4.0,8.0,9.0,6.5,12.0,6.333333333333333,11.75,11.5,6.5,10.5,6.5,12.125,8.6,4.333333333333333,12.75,7.666666666666667,13.0,12.0,11.0,6.5
