Player,UID,Position
Ramón Juan,67258716,GK
Dani,2000571661,D (C)
Luis Alberto,2000197811,D (RC)
Juan Luis,2000664823,"D (LC), M (C)"
David Carmona,67188934,D/WB/M/AM (R)
Gorka Iglesias,2000570645,"D (RL), WB (L)"
Chisom Abdul,2000573849,"M (C), AM (RC), ST (C)"
Carlos Dotor,67293616,M/AM (C)
Higinio Zarzo,2000192890,"M (C), AM (RC), ST (C)"
Matti Ahonen,2000515148,ST (C)
Juanma Hernández,2000053164,ST (C)
Pablo Picón,67277686,GK
Pablo Sanz,2000685487,"D (RC), DM"
Amadou Camara,2000201329,"AM (RLC), ST (C)"
Lancho,2000052042,"D/WB/AM (L), ST (C)"
Yeray Zabalo,2000438356,"D (R), DM, M (C)"
Xabier Garitano,2000570830,D (LC)
Marcos Trabanco,2000016812,D/WB/M/AM (R)
Emmanuel Attipoe,13210212,M (L)
Ángel Alcalde,2000573845,"DM, M (C)"
Daniel,2000632726,"M (L), AM (LC), ST (C)"
Toni Moya,67223078,"DM, M (RC)"
Christian Revuelta,2000632723,"AM (RLC), ST (C)"
