Player,UID,WM,W,DW,IW,IF,WG
Ramón Juan,67258716.0,5.85,5.75,7.05,6.85,6.25,5.42
Dani,2000571661.0,9.9,9.95,11.4,9.35,8.35,10.17
Luis Alberto,2000197811.0,8.5,8.25,9.95,7.8,7.8,8.92
Juan Luis,2000664823.0,10.5,9.5,11.45,9.65,9.7,10.0
David Carmona,67188934.0,12.1,12.2,12.6,12.2,11.7,11.5
Gorka Iglesias,2000570645.0,10.8,10.6,11.6,10.2,10.0,10.75
Chisom Abdul,2000573849.0,10.55,11.8,7.7,11.2,10.3,11.54
Carlos Dotor,67293616.0,11.1,11.2,11.0,11.3,11.2,11.25
Higinio Zarzo,2000192890.0,10.7,11.1,8.7,11.4,10.8,11.33
Matti Ahonen,2000515148.0,10.9,12.1,7.9,11.9,12.2,12.08
Juanma Hernández,2000053164.0,11.2,10.9,9.4,12.3,12.6,10.92
Pablo Picón,67277686.0,3.15,3.45,3.65,4.2,4.2,3.88
Pablo Sanz,2000685487.0,7.2,5.2,9.0,6.6,6.6,5.75
Amadou Camara,2000201329.0,11.1,11.7,8.7,12.1,11.6,11.5
Lancho,2000052042.0,11.4,12.1,10.0,10.0,10.5,12.42
Yeray Zabalo,2000438356.0,10.85,10.7,11.95,9.5,9.5,10.75
Xabier Garitano,2000570830.0,9.1,9.0,10.6,7.6,7.6,9.83
Marcos Trabanco,2000016812.0,13.0,12.4,9.3,12.5,13.0,11.5
Emmanuel Attipoe,13210212.0,10.05,12.35,7.75,8.35,7.85,11.38
Ángel Alcalde,2000573845.0,7.95,7.2,7.55,7.45,7.15,6.83
Daniel,2000632726.0,9.6,9.6,6.55,11.05,11.45,10.42
Toni Moya,67223078.0,12.55,11.9,12.6,12.8,11.9,11.33
Christian Revuelta,2000632723.0,10.3,11.0,5.4,10.2,9.7,10.25
