Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Carlos Marín,67211705,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Aketxe,2000443798,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Diego Alende,67199156,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Francisco Marín,2000666188,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jean-Marie Durand,2000198617,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Gideon Ikechukwu,2000683108,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Agapito Torres,2000201479,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Álex,2000509919,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Daniel Moreno,2000631545,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Javi Pereda,2000199802,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Aldin Turkes,98033077,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ngala Diop,2000712992,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Echedey Carpintier,83212484,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Daniel Moreno,2000681256,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Facundo Barboza,2000280204,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Victor Cano,2000443364,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Fede Vico,67142992,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Antonio Díaz,2000569978,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Rubén Prieto,2000572704,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Virgil Thérésin,49040143,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Víctor Meseguer,67278046,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Felipe Núñez,2000197172,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Javier Bravo,2000713001,0,0,0,0,0,0,0,0,0,0,1,0,0,0
