Player,UID,AF,CF,DLF,F9,P,PF,TM
Carlos Marín,67211705.0,7.4,5.2,7.0,6.6,7.4,6.05,5.7
Alex Aketxe,2000443798.0,11.25,10.35,11.1,11.9,11.25,11.85,10.7
Diego Alende,67199156.0,10.15,11.65,12.1,11.0,10.15,11.45,11.5
Francisco Marín,2000666188.0,9.85,9.35,9.8,8.7,9.85,10.05,10.45
Jean-Marie Durand,2000198617.0,10.65,9.45,10.25,10.0,10.65,11.5,10.45
Gideon Ikechukwu,2000683108.0,10.65,11.25,10.95,10.6,10.65,12.4,10.55
Agapito Torres,2000201479.0,10.55,10.7,11.05,10.1,10.55,11.9,11.2
Álex,2000509919.0,12.45,9.7,10.95,11.45,12.45,12.35,10.15
Daniel Moreno,2000631545.0,13.5,13.85,14.55,14.1,13.5,12.75,14.05
Javi Pereda,2000199802.0,11.3,9.45,10.4,10.25,11.3,11.0,9.5
Aldin Turkes,98033077.0,11.15,11.6,11.7,10.55,11.15,11.8,12.05
Ngala Diop,2000712992.0,5.75,3.95,6.25,4.15,5.75,4.15,5.55
Echedey Carpintier,83212484.0,8.85,7.05,8.1,7.65,8.85,7.85,7.6
Daniel Moreno,2000681256.0,10.45,9.9,10.15,10.75,10.45,9.4,9.15
Facundo Barboza,2000280204.0,9.95,10.05,9.05,10.05,9.95,11.0,9.95
Victor Cano,2000443364.0,8.3,8.55,9.25,10.1,8.3,8.25,7.3
Fede Vico,67142992.0,9.4,10.9,11.2,11.9,9.4,9.5,9.15
Antonio Díaz,2000569978.0,9.5,10.05,11.35,10.75,9.5,8.4,10.15
Rubén Prieto,2000572704.0,10.3,10.2,10.1,9.3,10.3,11.5,11.3
Virgil Thérésin,49040143.0,9.45,8.85,10.1,8.75,9.45,9.65,8.85
Víctor Meseguer,67278046.0,11.8,12.1,12.6,11.4,11.8,12.1,11.9
Felipe Núñez,2000197172.0,8.05,6.65,8.0,6.7,8.05,8.85,8.75
Javier Bravo,2000713001.0,10.85,9.9,10.15,11.15,10.85,10.05,9.45
