Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Miquel Parera,67199250.0,11.15,9.3,9.55,9.5,10.3,8.75,9.1,10.0
Juan Pablo,2000574059.0,8.9,9.2,10.4,9.05,9.25,10.3,10.0,10.0
Bakary Daou,2000515163.0,9.9,8.0,12.3,10.4,10.8,7.6,8.9,11.9
Joan Rojas,67276123.0,11.65,10.0,11.45,10.05,11.0,9.75,10.05,11.1
Diego Pampín,67247255.0,9.95,10.3,9.3,10.05,9.9,11.15,10.75,9.85
Julio Gracia,67237836.0,10.6,10.6,8.8,11.3,11.2,11.4,10.9,10.4
Antonio Cotán,67157612.0,13.7,12.45,10.35,12.3,12.65,12.05,12.0,11.6
Salia Coulibaly,2000443795.0,11.2,10.1,10.9,11.2,11.2,10.2,10.9,10.7
Humberto Alonso,2000196451.0,12.0,11.6,8.8,11.7,11.8,13.5,13.7,10.0
Castri,67294959.0,8.7,9.55,6.25,9.2,8.85,11.65,11.95,8.0
Ander Azparren,2000199803.0,9.8,9.5,8.0,10.1,9.6,11.5,11.9,8.0
Tom Ahlvers,2000197803.0,5.75,5.65,6.2,5.15,5.15,4.35,4.95,6.8
Asier Pinillos,2000574064.0,11.6,10.5,12.2,11.7,12.2,10.35,10.0,12.45
Lorenzo Sánchez,2000034331.0,8.3,8.1,7.7,9.2,8.8,10.0,10.9,7.8
Gorka Ormaetxea,2000574661.0,7.0,7.8,5.3,8.3,8.4,10.5,10.9,6.3
Kevin,2000199813.0,10.3,9.6,8.1,10.2,10.0,11.2,11.6,8.9
Asier,2000574060.0,10.7,8.95,8.35,11.05,11.0,10.25,10.75,9.4
Olivier Six,2000737738.0,10.2,9.65,8.45,11.25,10.45,11.2,11.4,9.55
Marcelo Djaló,67157156.0,13.2,12.0,10.95,11.15,11.75,11.2,10.7,11.85
Juan José,2000200474.0,8.6,6.15,12.4,9.0,9.0,5.65,6.7,10.7
Luis Jiménez,2000441678.0,9.2,8.2,11.35,9.9,9.8,8.5,9.6,10.6
Mikel Muñoz,2000710316.0,8.45,9.0,6.75,9.75,10.05,11.75,12.05,7.7
