Player,UID,FB,WB,IWB,CWB,NNFB
Unai Goti,2000065885.0,7.0,4.7,5.95,5.12,8.6
Víctor Dieste,2000440740.0,11.85,9.7,10.9,9.38,12.35
Rafa Gálvez,67172424.0,10.3,8.3,11.45,8.65,10.85
Iván Bravo,67276128.0,12.1,10.6,11.1,10.23,11.9
Mikel Kortazar,67260193.0,7.5,8.4,7.3,9.08,7.4
Àlex Rico,67295759.0,10.95,9.5,11.4,9.85,11.05
Fran Manzanara,67211715.0,11.3,9.4,11.6,9.85,11.25
Omri Hemo,2000440760.0,10.4,9.7,9.2,10.0,10.2
Francisco Eduardo García,2000198830.0,5.15,8.15,4.35,9.08,3.6
Victor Pérez,2000572055.0,8.4,8.8,7.95,9.23,7.45
Ewan,67276233.0,7.2,7.6,7.0,8.77,6.5
Jorge Sangalli,2000202624.0,3.3,1.3,3.95,1.5,4.5
Gael Alonso,67294882.0,10.2,8.8,8.4,8.15,10.1
Alberto Cañizares,2000571806.0,8.7,8.4,9.75,9.77,8.85
Lorenzo,2000714638.0,5.3,8.15,4.6,8.92,5.95
Miguel Fernández,67263770.0,8.9,9.5,9.3,10.38,9.0
Alberto Pereira,2000683136.0,10.15,7.25,9.4,7.19,9.7
Francisco Tena,67211549.0,5.75,5.8,5.6,5.77,6.5
Álex Petxarromán,67246376.0,10.5,8.8,9.9,8.69,10.1
Juan Carlos Chasco,2000574123.0,6.2,6.8,6.7,7.92,5.4
Jordi Prats,2000202599.0,1.65,0.4,2.95,1.31,2.3
