Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Unai Goti,2000065885.0,13.5,8.25,8.5,10.83,8.0,5.0,14.0,11.0
Víctor Dieste,2000440740.0,0.0,10.25,9.5,13.5,0.0,0.0,0.0,0.0
Rafa Gálvez,67172424.0,2.25,6.88,4.75,12.75,2.25,2.0,2.75,3.75
Iván Bravo,67276128.0,0.0,11.25,13.0,11.83,0.0,0.0,0.0,0.0
Mikel Kortazar,67260193.0,0.0,10.25,14.5,9.58,0.0,0.0,0.0,0.0
Àlex Rico,67295759.0,3.0,10.5,9.0,12.75,2.0,4.0,1.5,3.5
Fran Manzanara,67211715.0,2.5,9.62,8.75,13.08,2.25,2.0,3.25,2.75
Omri Hemo,2000440760.0,0.0,12.0,13.0,12.5,0.0,0.0,0.0,0.0
Francisco Eduardo García,2000198830.0,0.0,12.12,13.5,5.75,0.0,0.0,0.0,0.0
Victor Pérez,2000572055.0,1.5,11.25,14.5,9.33,2.5,2.5,3.5,2.75
Ewan,67276233.0,0.0,8.5,12.5,11.17,0.0,0.0,0.0,0.0
Jorge Sangalli,2000202624.0,9.75,4.62,0.0,7.08,11.0,6.5,10.0,7.5
Gael Alonso,67294882.0,2.25,9.5,13.5,10.67,3.5,2.0,2.75,2.75
Alberto Cañizares,2000571806.0,0.0,11.12,8.5,10.58,0.0,0.0,0.0,0.0
Lorenzo,2000714638.0,0.0,9.62,12.75,7.92,0.0,0.0,0.0,0.0
Miguel Fernández,67263770.0,0.0,10.75,11.0,10.5,0.0,0.0,0.0,0.0
Alberto Pereira,2000683136.0,0.0,5.0,6.25,8.92,0.0,0.0,0.0,0.0
Francisco Tena,67211549.0,0.0,4.25,3.5,6.58,0.0,0.0,0.0,0.0
Álex Petxarromán,67246376.0,0.0,8.75,10.5,12.0,0.0,0.0,0.0,0.0
Juan Carlos Chasco,2000574123.0,0.0,5.5,11.0,2.83,0.0,0.0,0.0,0.0
Jordi Prats,2000202599.0,6.25,3.62,0.0,4.08,6.0,2.5,14.0,6.5
