Player,UID,Position
Unai Goti,2000065885,GK
Víctor Dieste,2000440740,"D (RC), DM"
Rafa Gálvez,67172424,"D (C), DM"
Iván Bravo,67276128,"D (LC), WB (L)"
Mikel Kortazar,67260193,D/WB/M/AM (L)
Àlex Rico,67295759,"DM, M (C)"
Fran Manzanara,67211715,"DM, M (C)"
Omri Hemo,2000440760,"M (RC), AM (C)"
Francisco Eduardo García,2000198830,"M/AM (R), ST (C)"
Victor Pérez,2000572055,"M (L), AM (RL), ST (C)"
Ewan,67276233,ST (C)
Jorge Sangalli,2000202624,GK
Gael Alonso,67294882,D (C)
Alberto Cañizares,2000571806,"DM, M (C), AM (RC)"
Lorenzo,2000714638,"AM (C), ST (C)"
Miguel Fernández,67263770,"M (RC), AM (RL)"
Alberto Pereira,2000683136,D (LC)
Francisco Tena,67211549,"D (C), DM, M (C)"
Álex Petxarromán,67246376,D (RC)
Juan Carlos Chasco,2000574123,"M (RC), AM (R)"
Jordi Prats,2000202599,GK
