Match,Player,UID
#GK,Igor Cuesta,2000740950
#DR,Ryan Pole,76062797
#DR,Gorka Merino,2000441525
#DR,Edgar Fernández,2000514789
#DC,Roberto Sukunza,2000202561
#DC,Nico Montoro,2000513279
#DC,Víctor Manuel Miguélez,2000740958
#DC,Vojo Bešović,2000191918
#DC,Gorka Merino,2000441525
#DC,Edgar Fernández,2000514789
#DC,Quique Refojos,2000514794
#DL,Rulo,67196228
#DL,Sadio Halidou,2000680220
#WBR,Ryan Pole,76062797
#WBR,Edgar Fernández,2000514789
#DM,Nico Montoro,2000513279
#DM,Ricki Alonso,2000444088
#DM,Víctor Manuel Miguélez,2000740958
#DM,Vojo Bešović,2000191918
#DM,Gorka Merino,2000441525
#MR,Migue Fernández,2000513270
#MC,Nico Montoro,2000513279
#MC,Ricki Alonso,2000444088
#MC,Lucas Suárez,67291632
#MC,Carlos Pérez,67277708
#MC,Migue Fernández,2000513270
#MC,Vojo Bešović,2000191918
#MC,Alberto Jiménez,2000712145
#MC,Gorka Merino,2000441525
#ML,Alejandro Preciado,76058677
#AMR,Migue Fernández,2000513270
#AMR,Alejandro Preciado,76058677
#AMC,Carlos Pérez,67277708
#AMC,Migue Fernández,2000513270
#AMC,Alejandro Preciado,76058677
#AMC,Igor Larrazabal,2000201328
#AMC,Alberto Jiménez,2000712145
#AML,Rulo,67196228
#AML,Migue Fernández,2000513270
#AML,Alejandro Preciado,76058677
#STC,Alejandro Preciado,76058677
#STC,Igor Larrazabal,2000201328
#STC,Alberto Jiménez,2000712145
