Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Álvaro Fernández,67262229.0,8.8,7.6,8.1,8.0,8.3,7.7,7.6,8.3
Borja Esnaola,2000438807.0,9.9,7.5,11.35,9.3,9.3,6.4,7.05,10.65
Francisco Javier García,2000442254.0,9.7,8.2,12.1,9.7,9.8,8.5,9.0,10.3
Fernando Juan,2000198639.0,9.7,8.7,11.7,9.9,10.3,8.4,8.4,11.3
Álex Pérez,2000020028.0,10.8,9.2,11.3,10.6,10.6,9.6,10.1,11.4
Mohamed Gallar,2000444071.0,10.65,9.35,13.7,10.25,10.35,7.6,7.7,11.6
Álvaro Fortes,2000443308.0,10.2,8.8,11.9,9.8,10.3,8.1,8.9,11.6
David Alfonso,67244455.0,6.75,6.35,4.4,7.8,7.5,8.95,8.95,5.8
Julio Delgado,67221282.0,8.9,10.0,7.3,10.3,9.7,11.8,11.5,8.7
Chiquinho,83169933.0,9.5,9.9,8.3,9.3,9.35,10.55,10.6,8.3
Víctor Socorro,67277518.0,8.8,8.8,7.3,9.5,9.3,10.4,11.0,8.4
Pedro Manuel Peña,2000665371.0,4.35,4.25,4.3,4.25,4.25,4.45,4.65,4.85
Andrés Alcántara,2000440886.0,9.4,7.1,10.95,10.1,10.1,6.8,8.25,11.15
Pep,2000198640.0,12.4,10.4,11.4,11.7,12.7,10.1,10.5,12.1
Serafín Godoy,2000202566.0,7.2,6.3,6.1,8.6,9.0,8.4,10.05,6.75
Pablo Jurado,2000681314.0,8.25,6.2,9.5,8.15,8.15,5.1,4.15,9.8
David Luna,67261047.0,7.7,6.3,9.75,8.35,8.35,6.35,6.7,10.45
Abel Pascual,67215623.0,9.5,8.9,11.1,9.4,9.2,8.4,8.9,10.5
Diego Ceballos,67269375.0,10.8,10.6,10.9,10.8,10.6,11.1,11.2,10.9
Isra Cano,2000065444.0,8.75,8.5,4.4,9.0,9.4,10.9,11.45,6.8
Isaiah,2000194472.0,7.8,6.6,11.45,7.85,7.85,6.05,6.9,10.15
Alain Garai,2000679842.0,5.4,6.2,3.15,6.25,5.7,7.0,6.95,3.75
Gorka Arrizabalaga,2000683360.0,8.0,7.25,5.9,9.25,9.35,8.05,9.05,6.6
