Player,UID,FB,WB,IWB,CWB,NNFB
Álvaro Fernández,67262229.0,7.3,4.5,6.6,5.15,7.1
Borja Esnaola,2000438807.0,11.45,8.15,9.8,7.96,11.95
Francisco Javier García,2000442254.0,11.1,9.3,9.8,8.77,11.8
Fernando Juan,2000198639.0,12.2,10.0,11.0,9.08,11.8
Álex Pérez,2000020028.0,11.6,9.7,10.6,9.85,10.7
Mohamed Gallar,2000444071.0,12.15,9.8,12.8,9.85,14.2
Álvaro Fortes,2000443308.0,12.8,10.4,11.9,9.54,12.5
David Alfonso,67244455.0,5.65,7.15,4.55,8.23,2.85
Julio Delgado,67221282.0,7.9,9.1,7.5,9.85,6.5
Chiquinho,83169933.0,8.4,8.95,8.25,9.42,7.9
Víctor Socorro,67277518.0,8.4,8.7,8.1,9.23,6.8
Pedro Manuel Peña,2000665371.0,5.0,3.7,4.4,4.08,4.3
Andrés Alcántara,2000440886.0,12.15,9.45,10.4,9.27,11.35
Pep,2000198640.0,10.7,8.4,11.0,9.15,10.5
Serafín Godoy,2000202566.0,6.85,8.0,5.75,8.77,4.85
Pablo Jurado,2000681314.0,10.75,7.15,9.3,6.65,10.2
David Luna,67261047.0,11.1,8.55,9.45,8.08,9.8
Abel Pascual,67215623.0,11.1,8.6,10.4,8.38,11.5
Diego Ceballos,67269375.0,11.8,11.2,11.0,10.85,11.1
Isra Cano,2000065444.0,4.55,5.7,5.55,7.42,2.85
Isaiah,2000194472.0,9.9,7.05,9.05,7.08,11.3
Alain Garai,2000679842.0,4.8,8.15,4.1,8.08,3.15
Gorka Arrizabalaga,2000683360.0,5.5,6.9,5.8,8.04,5.0
