Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Koldo Valencia,2000663358.0,6.0,9.33,7.0,9.0,14.0,11.33,12.0,10.5,9.0,12.5,9.5,14.25,10.6,7.67,13.5,10.0,10.0,13.0,8.0,11.67,10.0
David Krecek,2000569970.0,15.0,14.33,12.0,11.5,7.0,9.0,6.0,13.5,11.5,7.0,10.5,15.5,11.4,11.33,14.0,13.33,6.0,7.0,14.5,4.67,14.0
Stefán Þór Jónsson,2000531873.0,16.0,10.67,8.0,9.0,8.5,9.67,8.0,12.0,9.0,8.0,10.0,13.5,9.6,10.0,11.0,12.33,8.0,9.5,11.5,6.0,17.0
Álvaro Sánchez,2000685713.0,9.0,12.67,8.0,8.0,16.0,11.0,12.33,16.0,8.0,14.5,9.5,10.5,12.4,6.33,14.25,13.67,9.0,12.5,12.5,9.67,6.0
Kian Van Den Bergh,2000632259.0,8.0,13.33,9.0,6.5,11.0,10.67,11.33,13.0,6.5,15.0,9.0,10.5,12.2,6.0,15.75,12.33,14.0,12.0,12.5,9.67,10.0
Francesco Zamuner,2000626880.0,11.0,11.33,8.0,11.0,14.5,10.67,12.67,11.5,11.0,12.5,11.0,14.25,10.6,10.67,12.5,12.0,10.0,14.5,12.0,11.67,11.0
Roberto van Brakel,2000572868.0,10.0,11.67,7.0,7.5,15.0,12.33,11.67,11.5,7.5,12.0,9.5,10.25,12.2,6.67,14.75,11.33,15.0,12.5,12.5,10.33,6.0
Antonio Navarro,2000571902.0,9.0,11.33,4.0,10.5,10.5,11.0,9.33,14.5,10.5,10.0,11.0,13.75,11.4,9.67,14.5,13.0,8.0,10.5,11.0,6.33,9.0
Vicente,2000571659.0,12.0,9.67,5.0,9.0,14.5,11.33,10.33,11.5,9.0,11.0,9.0,11.25,11.0,7.67,15.5,10.33,12.0,12.0,12.0,10.0,5.0
Felipe,2000510074.0,13.0,11.33,11.0,10.0,10.5,12.0,11.33,12.0,10.0,13.0,11.5,13.0,11.6,9.33,14.5,12.0,15.0,11.0,15.0,10.67,7.0
Víctor,2000440738.0,9.0,13.0,11.0,12.5,13.5,12.33,13.0,12.0,12.5,13.5,12.5,9.75,12.6,11.0,12.75,12.33,13.0,14.0,13.5,11.67,10.0
Raffaele Russo,2000324450.0,14.0,14.0,3.0,10.0,6.0,7.67,5.0,14.0,10.0,3.5,7.5,12.75,11.6,7.0,13.25,11.67,1.0,6.5,13.0,3.33,1.0
Alen Bartolović,2000506471.0,14.0,9.33,11.0,9.0,13.0,11.33,9.33,10.0,9.0,14.0,9.5,9.75,10.6,7.33,14.5,9.67,13.0,11.5,12.5,11.33,5.0
Ronald Woudenberg,2000633117.0,13.0,10.0,1.0,10.0,5.5,9.33,6.33,10.5,10.0,5.0,9.0,10.75,9.6,7.67,11.0,10.33,3.0,8.0,10.0,4.0,3.0
Agustín Kranevitter,2000612966.0,17.0,10.67,1.0,11.5,8.0,9.67,7.0,11.5,11.5,5.0,10.5,11.5,9.8,8.0,11.25,11.67,3.0,9.5,13.0,3.33,3.0
Leandro Alves,2000568887.0,15.0,9.0,9.0,9.5,10.5,12.33,7.67,9.5,9.5,12.0,9.5,10.0,10.4,7.33,15.25,10.33,7.0,9.0,13.5,11.33,2.0
