Aerial Presence,Awareness,Clearing,Closing Down,Control,Creativity,Crossing,Decision Making,Defensive Positioning,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical Presence,Tackling
6.0,9.333333333333334,7.0,9.0,14.0,11.333333333333334,11.5,10.5,9.0,12.5,9.5,14.25,10.6,7.666666666666667,13.5,10.0,10.0,12.0,8.0,10.0
15.0,14.333333333333334,12.0,11.5,7.0,9.0,7.0,13.5,11.5,7.0,10.5,15.5,11.4,11.333333333333334,14.0,13.333333333333334,8.0,8.0,14.5,12.0
16.0,10.666666666666666,8.0,9.0,8.5,9.666666666666666,8.0,12.0,9.0,8.0,10.0,13.5,9.6,10.0,11.0,12.333333333333334,8.0,9.0,11.5,12.5
9.0,12.666666666666666,8.0,8.0,16.0,11.0,12.0,16.0,8.0,14.5,9.5,10.5,12.4,6.333333333333333,14.25,13.666666666666666,10.0,12.0,12.5,8.5
8.0,13.333333333333334,9.0,6.5,11.0,10.666666666666666,10.75,13.0,6.5,15.0,9.0,10.5,12.2,6.0,15.75,12.333333333333334,11.5,11.0,12.5,9.5
11.0,11.333333333333334,8.0,11.0,14.5,10.666666666666666,12.25,11.5,11.0,12.5,11.0,14.25,10.6,10.666666666666666,12.5,12.0,10.5,13.333333333333334,12.0,11.0
10.0,11.666666666666666,7.0,7.5,15.0,12.333333333333334,11.5,11.5,7.5,12.0,9.5,10.25,12.2,6.666666666666667,14.75,11.333333333333334,13.0,12.0,12.5,8.5
9.0,11.333333333333334,4.0,10.5,10.5,11.0,9.25,14.5,10.5,10.0,11.0,13.75,11.4,9.666666666666666,14.5,13.0,8.5,10.0,11.0,9.0
12.0,9.666666666666666,5.0,9.0,14.5,11.333333333333334,10.75,11.5,9.0,11.0,9.0,11.25,11.0,7.666666666666667,15.5,10.333333333333334,12.0,12.0,12.0,8.5
13.0,11.333333333333334,11.0,10.0,10.5,12.0,11.25,12.0,10.0,13.0,11.5,13.0,11.6,9.333333333333334,14.5,12.0,13.0,11.0,15.0,9.0
9.0,13.0,11.0,12.5,13.5,12.333333333333334,13.5,12.0,12.5,13.5,12.5,9.75,12.6,11.0,12.75,12.333333333333334,14.0,14.333333333333334,13.5,12.5
14.0,14.0,3.0,10.0,6.0,7.666666666666667,5.75,14.0,10.0,3.5,7.5,12.75,11.6,7.0,13.25,11.666666666666666,4.5,7.0,13.0,4.5
14.0,9.333333333333334,11.0,9.0,13.0,11.333333333333334,10.25,10.0,9.0,14.0,9.5,9.75,10.6,7.333333333333333,14.5,9.666666666666666,13.0,12.0,12.5,9.0
13.0,10.0,1.0,10.0,5.5,9.333333333333334,6.5,10.5,10.0,5.0,9.0,10.75,9.6,7.666666666666667,11.0,10.333333333333334,5.0,7.666666666666667,10.0,5.0
17.0,10.666666666666666,1.0,11.5,8.0,9.666666666666666,7.5,11.5,11.5,5.0,10.5,11.5,9.8,8.0,11.25,11.666666666666666,6.0,9.333333333333334,13.0,6.0
15.0,9.0,9.0,9.5,10.5,12.333333333333334,9.25,9.5,9.5,12.0,9.5,10.0,10.4,7.333333333333333,15.25,10.333333333333334,10.5,10.666666666666666,13.5,8.0
9.0,12.666666666666666,12.0,9.0,14.5,12.666666666666666,10.0,13.5,9.0,13.0,10.5,8.25,12.4,7.333333333333333,12.5,13.666666666666666,13.5,11.333333333333334,11.5,8.0
10.0,11.666666666666666,5.0,10.5,15.0,12.0,12.25,12.5,10.5,13.0,9.0,11.5,12.0,8.666666666666666,14.75,12.0,11.0,14.333333333333334,10.5,8.5
14.0,11.333333333333334,6.0,8.0,13.5,11.333333333333334,10.0,11.5,8.0,14.5,8.5,9.25,11.2,6.666666666666667,14.75,11.666666666666666,10.5,10.333333333333334,12.0,6.5
12.0,9.666666666666666,7.0,10.5,14.5,12.666666666666666,11.75,10.5,10.5,13.0,11.5,9.5,11.4,11.333333333333334,14.25,10.333333333333334,13.5,14.0,12.0,10.5
11.0,12.666666666666666,8.0,8.0,12.5,12.666666666666666,11.75,12.0,8.0,13.0,9.5,12.0,12.6,8.0,14.25,12.333333333333334,10.5,13.333333333333334,13.5,8.0
12.0,10.666666666666666,5.0,10.0,13.0,12.333333333333334,11.75,11.5,10.0,10.5,10.5,8.5,11.8,8.333333333333334,10.75,11.0,13.0,13.666666666666666,10.0,10.5
16.0,11.0,10.0,12.0,12.0,9.333333333333334,10.5,11.0,12.0,11.5,12.5,13.25,9.6,12.0,13.25,11.666666666666666,9.5,12.0,12.5,13.0
12.0,11.333333333333334,9.0,13.5,10.0,11.333333333333334,10.5,13.0,13.5,10.0,14.0,13.5,10.6,13.333333333333334,13.0,13.666666666666666,10.5,10.666666666666666,11.0,12.0
9.0,11.666666666666666,9.0,10.5,7.5,12.0,8.25,11.5,10.5,6.5,9.5,12.5,11.6,11.0,13.0,12.0,8.0,8.0,9.5,9.0
16.0,9.0,10.0,11.5,8.0,10.666666666666666,8.5,10.5,11.5,6.5,10.5,12.75,9.6,11.666666666666666,12.25,10.666666666666666,8.5,9.0,13.5,11.0
13.0,10.333333333333334,7.0,12.0,14.0,13.666666666666666,10.0,12.0,12.0,9.0,11.5,13.5,11.6,12.666666666666666,13.5,12.666666666666666,9.5,11.333333333333334,14.0,11.0
8.0,13.333333333333334,14.0,12.5,14.0,12.333333333333334,13.5,13.5,12.5,12.0,11.5,14.25,12.4,11.0,12.75,14.0,12.5,15.0,9.5,11.5
