Match,Player,UID
#GK,Coke Carrillo,2000048835
#GK,Adrián,67276068
#DR,Adama Mendy,2000663542
#DR,Ángel López,95078297
#DR,Vicente Agulló,2000031433
#DC,Adama Mendy,2000663542
#DC,Unai Eguíluz,2000066197
#DC,Ángel López,95078297
#DC,Jeremi Rodríguez,2000056279
#DC,José Carlos Fernández,2000198844
#DC,Vicente Agulló,2000031433
#DL,Ángel López,95078297
#DL,Jeremi Rodríguez,2000056279
#DL,Pedro José,2000710721
#DL,Souleymane Kané,2000713453
#WBR,Ángel López,95078297
#WBR,Vicente Agulló,2000031433
#DM,Marc Casadó,2000058198
#DM,Juan De Dios Navarro,2000196452
#DM,Dani Villahermosa,2000049421
#WBL,Ángel López,95078297
#WBL,Jeremi Rodríguez,2000056279
#WBL,Pedro José,2000710721
#MR,Adama Mendy,2000663542
#MR,Alvaro Montoya,2000440605
#MR,Dramane Diarra,2000710909
#MC,Marc Casadó,2000058198
#MC,Juan De Dios Navarro,2000196452
#MC,Esteban Herrera,2000663543
#MC,Gabriel Blanco,2000200470
#MC,Dani Villahermosa,2000049421
#ML,Juan De Dios Navarro,2000196452
#ML,Esteban Iglesias,2000443789
#ML,Abraham Camus,2000663544
#AMR,Juan De Dios Navarro,2000196452
#AMR,Vassi,67293620
#AMR,Esteban Iglesias,2000443789
#AMR,Alvaro Montoya,2000440605
#AMR,Vicente Agulló,2000031433
#AMR,Gabriel Blanco,2000200470
#AMR,Dramane Diarra,2000710909
#AMC,Marc Casadó,2000058198
#AMC,Esteban Herrera,2000663543
#AMC,Abraham,2000710717
#AMC,Alvaro Montoya,2000440605
#AMC,Abraham Camus,2000663544
#AMC,Gabriel Blanco,2000200470
#AML,Vassi,67293620
#AML,Esteban Herrera,2000663543
#AML,Esteban Iglesias,2000443789
#AML,Abraham Camus,2000663544
#AML,Souleymane Kané,2000713453
#STC,Vassi,67293620
#STC,Álex Oyón,2000076170
#STC,Abraham,2000710717
#STC,Alvaro Montoya,2000440605
#STC,Souleymane Kané,2000713453
