Player,UID,Position
Coke Carrillo,2000048835,GK
Adama Mendy,2000663542,"D (RC), M (R)"
Unai Eguíluz,2000066197,D (C)
Ángel López,95078297,"D (RLC), WB (RL)"
Jeremi Rodríguez,2000056279,"D (LC), WB (L)"
Marc Casadó,2000058198,"DM, M/AM (C)"
Juan De Dios Navarro,2000196452,"DM, M (LC), AM (R)"
Vassi,67293620,"AM (RL), ST (C)"
Esteban Herrera,2000663543,"M (C), AM (LC)"
Esteban Iglesias,2000443789,"M (L), AM (RL)"
Álex Oyón,2000076170,ST (C)
Pedro José,2000710721,D/WB (L)
Abraham,2000710717,"AM (C), ST (C)"
Alvaro Montoya,2000440605,"M (R), AM (RC), ST (C)"
Abraham Camus,2000663544,"M (L), AM (LC)"
José Carlos Fernández,2000198844,D (C)
Vicente Agulló,2000031433,"D (RC), WB/AM (R)"
Gabriel Blanco,2000200470,"M (C), AM (RC)"
Dramane Diarra,2000710909,M/AM (R)
Adrián,67276068,GK
Dani Villahermosa,2000049421,"DM, M (C)"
Souleymane Kané,2000713453,"D/AM (L), ST (C)"
