Player,UID,AF,CF,DLF,F9,P,PF,TM
Coke Carrillo,2000048835.0,8.0,5.3,8.2,5.8,8.0,7.3,7.7
Adama Mendy,2000663542.0,8.2,8.85,10.05,8.4,8.2,9.05,9.25
Unai Eguíluz,2000066197.0,9.3,8.4,8.9,8.0,9.3,9.3,9.3
Ángel López,95078297.0,10.8,10.0,10.8,10.8,10.8,10.1,10.3
Jeremi Rodríguez,2000056279.0,10.1,8.8,9.7,9.4,10.1,10.2,9.8
Marc Casadó,2000058198.0,11.8,11.1,12.4,11.5,11.8,11.4,11.1
Juan De Dios Navarro,2000196452.0,11.3,8.9,9.7,10.3,11.3,10.2,8.5
Vassi,67293620.0,12.7,11.5,12.0,12.7,12.7,10.2,10.3
Esteban Herrera,2000663543.0,12.2,11.0,12.05,12.45,12.2,11.1,10.5
Esteban Iglesias,2000443789.0,12.9,10.6,11.7,12.3,12.9,10.3,10.0
Álex Oyón,2000076170.0,13.1,12.0,11.9,11.8,13.1,11.1,11.8
Pedro José,2000710721.0,9.45,6.3,7.65,7.5,9.45,9.1,6.75
Abraham,2000710717.0,9.65,10.55,11.25,10.85,9.65,9.7,10.25
Alvaro Montoya,2000440605.0,12.9,11.5,12.5,12.3,12.9,11.9,12.6
Abraham Camus,2000663544.0,10.1,9.5,10.85,10.8,10.1,9.3,9.45
José Carlos Fernández,2000198844.0,8.5,8.5,8.6,7.7,8.5,9.2,9.9
Vicente Agulló,2000031433.0,10.8,8.8,10.5,9.8,10.8,9.4,9.4
Gabriel Blanco,2000200470.0,10.3,10.2,11.7,11.2,10.3,10.5,10.1
Dramane Diarra,2000710909.0,10.8,8.85,8.75,8.95,10.8,10.75,8.55
Adrián,67276068.0,6.4,4.25,6.65,4.65,6.4,4.95,6.25
Dani Villahermosa,2000049421.0,9.8,11.2,11.8,11.0,9.8,10.5,10.9
Souleymane Kané,2000713453.0,5.25,7.55,7.25,7.5,5.25,6.75,4.95
