Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Ander Iru,67260190.0,11.5,8.33,1.0,11.0,6.25,7.83,8.17,11.5,11.0,5.5,9.25,10.75,8.5,8.0,11.5,9.67,1.5,10.5,10.0,4.83,1.5
Carlos Isaac,67228752.0,10.0,11.33,11.0,11.25,10.25,10.83,9.67,12.25,11.25,9.5,12.0,8.25,10.9,11.5,11.25,12.17,10.0,10.0,5.5,5.83,15.0
Adrián Granado,67294774.0,16.0,10.33,13.0,9.0,4.5,11.33,3.67,11.0,9.0,6.0,9.0,9.5,10.0,10.67,11.75,12.33,8.0,4.5,9.5,4.33,14.0
Josep María González,2000201491.0,11.0,11.67,8.0,11.5,8.5,9.33,6.67,11.5,11.5,6.5,12.5,12.0,9.8,11.0,9.25,12.33,5.0,10.0,12.5,3.67,13.0
Luis,2000193720.0,6.0,11.0,6.0,10.0,6.5,13.0,4.67,12.5,10.0,7.5,9.5,11.0,11.6,10.33,12.75,13.0,7.0,5.5,12.0,5.67,13.0
Álvaro Goikoetxea,2000198139.0,11.5,10.5,6.0,11.5,12.5,13.0,11.67,13.5,11.5,11.25,12.5,12.75,12.0,11.5,10.5,12.5,10.5,13.5,11.75,10.17,11.0
Aarón Rey,67228467.0,6.0,10.33,9.0,10.5,14.75,14.0,13.17,13.0,10.5,13.25,9.25,11.25,12.2,10.17,11.25,12.67,12.0,15.0,9.0,13.67,5.5
Yago Santiago,28129860.0,13.0,9.33,8.0,10.5,11.5,11.33,12.33,15.0,10.5,11.5,7.5,10.5,11.4,10.0,14.5,11.67,9.0,14.5,12.5,12.33,11.0
Pol Arjona,2000633084.0,13.5,10.83,7.5,5.75,13.75,11.33,10.67,9.25,5.75,13.75,7.5,8.88,11.2,3.83,14.25,9.67,14.5,11.75,9.0,11.5,6.5
Lucas Rodrigues,19362985.0,12.0,13.33,10.0,7.5,13.0,12.17,9.33,12.25,7.5,12.0,12.0,10.75,12.7,6.83,12.62,12.5,13.0,11.5,9.0,10.83,6.5
Mario Martínez,2000439249.0,16.0,10.17,7.0,9.75,14.75,11.33,10.17,10.75,9.75,15.0,11.75,10.88,11.0,8.17,13.38,10.33,10.5,11.5,11.25,9.33,4.0
Joaquín,2000713470.0,15.0,8.67,9.5,8.25,8.0,9.17,5.5,12.25,8.25,7.75,7.5,9.25,7.8,9.17,9.5,13.0,6.5,8.25,8.75,5.17,17.0
Mauro Puche,2000512104.0,11.0,9.33,9.0,4.5,14.0,10.33,13.67,8.5,4.5,13.5,8.0,9.0,10.2,3.0,13.12,8.33,7.0,15.0,9.0,10.0,5.0
Duaner Rodney,2000571340.0,15.0,6.0,4.0,4.0,11.0,8.33,8.33,8.5,4.0,13.0,4.0,9.0,8.6,2.67,11.5,5.67,16.0,10.0,6.5,9.67,0.0
Carlos,2000512225.0,12.0,9.67,8.0,5.5,11.0,10.0,10.67,9.5,5.5,7.5,9.5,14.25,10.0,3.67,11.0,9.33,9.0,12.5,12.5,5.67,14.0
Antonio Manau,2000514807.0,13.5,8.33,12.5,7.75,7.0,8.0,4.33,14.0,7.75,5.5,7.5,9.62,7.7,8.67,9.12,12.83,0.0,6.5,8.75,4.0,5.5
Gerard,2000633086.0,16.0,5.0,5.0,5.5,10.0,2.33,6.33,5.0,5.5,4.5,0.0,8.25,4.4,3.67,4.25,3.33,0.0,8.5,4.0,6.17,8.0
David González,2000633083.0,7.0,1.17,1.5,3.0,10.0,6.67,7.67,7.5,3.0,6.5,3.0,10.25,4.7,2.0,4.25,5.0,4.5,9.5,5.5,9.0,0.0
Jesús Sillero,67196099.0,4.0,10.67,9.0,6.0,11.0,11.33,9.67,9.5,6.0,11.0,9.5,8.75,10.8,4.0,10.25,10.33,12.0,9.5,5.0,6.83,7.0
Alberto,2000714494.0,0.0,2.5,0.0,5.25,2.0,4.83,1.0,3.5,5.25,0.0,7.5,1.75,2.9,3.5,6.38,4.83,0.0,1.5,6.0,0.0,0.0
Jordi Martí,2000742932.0,9.0,0.5,6.5,5.5,12.75,6.5,8.17,5.25,5.5,9.0,5.5,8.62,4.2,3.67,3.5,3.5,10.5,8.75,2.0,12.0,0.0
