Player,UID,AMC,AP,T,SS,AM,EG
Ander Iru,67260190.0,8.55,7.8,8.55,6.8,7.7,6.95
Carlos Isaac,67228752.0,11.0,10.4,11.0,9.8,10.6,9.4
Adrián Granado,67294774.0,8.1,7.3,8.1,7.8,8.0,6.7
Josep María González,2000201491.0,10.7,9.7,10.7,9.2,10.1,8.9
Luis,2000193720.0,9.4,9.3,9.4,8.9,9.3,9.0
Álvaro Goikoetxea,2000198139.0,12.9,12.8,12.9,12.3,12.75,12.4
Aarón Rey,67228467.0,12.7,13.0,12.7,13.05,13.0,12.3
Yago Santiago,28129860.0,11.6,12.4,11.6,11.7,11.2,12.2
Pol Arjona,2000633084.0,9.6,10.7,9.6,10.5,10.6,11.25
Lucas Rodrigues,19362985.0,12.25,12.25,12.25,11.75,12.05,11.85
Mario Martínez,2000439249.0,11.1,11.7,11.1,11.5,11.6,12.5
Joaquín,2000713470.0,7.65,6.75,7.65,7.5,7.5,5.8
Mauro Puche,2000512104.0,9.9,10.7,9.9,9.9,10.2,11.1
Duaner Rodney,2000571340.0,9.7,11.3,9.7,10.1,10.3,11.8
Carlos,2000512225.0,9.7,10.0,9.7,8.8,9.5,10.1
Antonio Manau,2000514807.0,8.1,7.35,8.1,7.5,7.5,6.0
Gerard,2000633086.0,7.1,7.8,7.1,5.95,6.1,6.8
David González,2000633083.0,8.6,9.1,8.6,9.25,8.9,7.9
Jesús Sillero,67196099.0,10.2,10.5,10.2,10.9,11.3,10.4
Alberto,2000714494.0,2.45,1.4,2.45,2.15,2.15,1.9
Jordi Martí,2000742932.0,7.3,8.2,7.3,9.2,7.75,7.6
