Player,UID,CD,BPD,NNCB,Lib
Ander Iru,67260190.0,7.3,6.9,7.3,7.0
Carlos Isaac,67228752.0,11.2,11.15,10.95,11.55
Adrián Granado,67294774.0,12.8,11.8,12.6,9.9
Josep María González,2000201491.0,11.7,11.6,11.6,10.4
Luis,2000193720.0,10.9,9.5,10.7,9.5
Álvaro Goikoetxea,2000198139.0,10.5,11.25,10.8,11.75
Aarón Rey,67228467.0,9.1,9.6,8.8,11.3
Yago Santiago,28129860.0,8.8,9.5,9.0,9.8
Pol Arjona,2000633084.0,6.6,6.9,6.7,8.35
Lucas Rodrigues,19362985.0,9.35,9.45,9.0,10.35
Mario Martínez,2000439249.0,8.2,9.05,8.05,9.1
Joaquín,2000713470.0,11.75,10.4,11.55,9.0
Mauro Puche,2000512104.0,6.6,7.4,7.1,8.0
Duaner Rodney,2000571340.0,3.8,4.2,3.5,5.6
Carlos,2000512225.0,8.8,9.1,9.8,8.9
Antonio Manau,2000514807.0,9.7,9.25,9.0,6.35
Gerard,2000633086.0,5.8,6.7,5.5,5.2
David González,2000633083.0,1.95,3.85,3.15,3.7
Jesús Sillero,67196099.0,5.8,6.7,5.8,8.3
Alberto,2000714494.0,3.1,3.1,3.1,3.1
Jordi Martí,2000742932.0,1.95,3.55,2.95,4.15
