Player,UID,FB,WB,IWB,CWB,NNFB
Ander Iru,67260190.0,7.85,6.3,7.5,6.77,7.55
Carlos Isaac,67228752.0,12.45,11.55,11.65,11.23,10.95
Adrián Granado,67294774.0,12.1,10.0,10.3,8.69,11.4
Josep María González,2000201491.0,12.0,9.1,11.9,9.23,12.5
Luis,2000193720.0,12.3,10.4,10.6,9.31,12.0
Álvaro Goikoetxea,2000198139.0,11.4,11.0,12.3,11.54,11.85
Aarón Rey,67228467.0,11.0,11.05,11.05,11.73,10.0
Yago Santiago,28129860.0,10.7,11.0,10.0,11.46,9.3
Pol Arjona,2000633084.0,7.0,8.2,6.5,9.08,5.7
Lucas Rodrigues,19362985.0,10.45,9.45,10.05,10.04,9.1
Mario Martínez,2000439249.0,9.15,9.55,8.9,10.35,7.95
Joaquín,2000713470.0,10.45,8.05,8.75,7.85,10.6
Mauro Puche,2000512104.0,7.55,8.05,7.2,9.42,6.6
Duaner Rodney,2000571340.0,5.3,8.0,5.2,8.46,4.0
Carlos,2000512225.0,7.2,6.8,8.3,8.15,9.0
Antonio Manau,2000514807.0,9.85,7.15,8.2,7.15,8.8
Gerard,2000633086.0,7.4,6.6,7.1,7.23,6.2
David González,2000633083.0,5.1,6.25,5.65,7.04,5.7
Jesús Sillero,67196099.0,7.6,8.5,8.1,9.0,6.4
Alberto,2000714494.0,2.4,0.6,3.1,1.0,3.1
Jordi Martí,2000742932.0,3.5,5.7,3.85,6.65,3.5
