Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Juanma,2000199335.0,11.5,10.67,2.0,8.25,4.75,7.67,6.83,11.75,8.25,2.25,8.75,10.62,9.4,6.17,10.88,10.5,2.0,8.0,9.25,1.83,2.0
Javier,2000664676.0,12.0,7.33,11.0,12.75,11.5,8.0,9.5,10.25,12.75,6.5,10.75,13.88,7.8,11.5,13.62,9.17,4.0,10.75,13.25,8.0,13.0
Rafa Marín,2000051886.0,18.0,10.5,14.0,12.25,7.75,9.67,5.83,10.75,12.25,5.5,11.75,9.25,9.4,11.83,11.25,11.67,7.5,6.5,12.5,4.33,12.0
Rodrigo Tarín,67183258.0,12.0,12.0,13.0,14.0,12.75,11.67,11.5,13.0,14.0,8.75,12.25,10.75,11.6,14.33,9.0,13.0,8.0,13.5,9.5,10.0,14.0
Arnau Solà,67296656.0,13.0,10.83,10.0,10.25,12.0,11.0,12.0,11.5,10.25,10.25,10.0,12.38,10.8,10.17,13.0,11.5,8.5,12.5,13.75,10.17,11.0
Enrique Pedraza,2000194016.0,18.5,9.17,10.0,10.0,12.0,8.17,9.67,11.0,10.0,9.25,11.0,10.12,8.5,11.17,11.25,10.5,5.5,12.5,13.75,8.5,10.0
Nassim Ramdane,2000572058.0,10.0,9.0,8.0,8.0,13.5,12.0,11.67,8.5,8.0,14.5,8.5,9.0,10.4,6.67,13.5,9.33,13.0,12.5,9.5,10.0,5.0
Eneko Pérez,2000441528.0,16.0,10.33,9.0,10.5,6.0,11.67,4.67,12.5,10.5,6.5,10.0,11.5,10.6,11.0,11.0,12.67,8.0,5.0,10.5,5.33,10.0
Gerardo Rodríguez,2000631751.0,10.0,10.67,6.0,6.5,16.5,12.83,11.67,12.5,6.5,16.5,8.0,10.62,12.1,6.33,12.75,11.67,9.0,13.0,9.0,10.5,3.5
Yassin Fekir,48036660.0,5.0,12.33,5.0,10.75,13.0,11.5,13.0,11.75,10.75,12.5,10.25,13.0,11.9,8.0,11.25,11.83,13.0,13.25,7.75,10.17,4.5
Juan Dinenno,14083720.0,12.0,14.33,16.0,8.5,11.5,13.67,10.0,14.5,8.5,11.0,13.0,10.75,13.6,6.67,9.5,15.0,17.0,10.5,9.0,11.33,5.0
Antoni,2000742548.0,7.0,3.17,0.0,6.25,1.5,7.5,1.5,6.5,6.25,0.0,5.5,2.5,4.5,4.17,9.5,7.5,0.0,2.25,2.75,0.0,0.0
Iago Fernández,2000052986.0,4.0,6.67,7.0,8.5,10.5,10.5,6.67,13.25,8.5,8.5,9.0,9.5,9.1,9.0,13.75,10.83,6.0,10.0,8.0,5.67,12.0
Cristóbal Guillén,2000438353.0,4.0,6.33,8.5,7.25,11.0,5.83,9.17,7.5,7.25,11.5,7.25,11.25,7.3,4.83,14.25,5.0,13.5,9.0,10.5,5.83,0.0
Julio Martín,2000679715.0,13.0,6.0,4.0,5.0,14.25,9.33,11.17,14.0,5.0,12.75,5.0,11.75,9.2,3.33,12.62,9.33,12.0,13.25,13.25,12.83,0.0
Joshua Ballesté,2000633082.0,12.0,11.83,7.5,9.0,13.0,10.33,11.5,12.5,9.0,12.0,9.75,8.25,11.6,7.33,11.75,11.17,10.5,13.0,8.0,7.5,4.5
Julio,2000197814.0,7.0,9.67,7.0,9.5,11.0,8.33,10.0,13.5,9.5,10.5,9.0,11.25,9.4,8.33,12.25,11.33,6.0,10.5,10.5,7.33,9.0
Eugeni,67169241.0,8.0,14.33,6.0,11.0,13.5,13.33,13.0,12.5,11.0,10.5,12.5,8.25,14.0,9.67,7.25,12.67,13.0,13.5,9.0,10.67,8.0
Paulo Barros,2000191478.0,6.5,7.67,8.5,6.75,11.25,6.5,8.17,9.25,6.75,12.25,6.75,8.88,8.5,4.5,15.0,6.17,13.5,10.25,9.0,8.17,0.0
Martín Lapeña,67256868.0,6.0,13.67,10.0,8.0,11.5,12.83,10.33,10.75,8.0,13.5,9.5,8.5,12.9,7.17,12.88,12.17,12.0,12.0,6.75,10.67,5.5
Mohammed Ali,2000633472.0,3.0,6.67,10.0,6.0,11.0,6.33,8.67,12.5,6.0,10.5,6.0,8.25,7.8,4.0,15.5,8.33,11.0,9.5,11.5,9.5,0.0
Dani García,219036.0,6.0,8.67,10.0,6.5,12.5,9.33,10.67,9.5,6.5,11.0,11.0,12.0,9.0,4.33,12.0,9.33,10.0,12.0,11.0,12.67,2.5
Laurent Bour,2000570944.0,16.0,9.33,12.0,8.0,6.5,7.0,4.33,12.5,8.0,7.5,12.0,12.75,7.4,8.33,12.75,12.33,0.0,6.5,12.5,2.67,10.0
