Player,UID,AF,CF,DLF,F9,P,PF,TM
Chus Beltrán,2000629925.0,13.25,11.6,12.1,11.7,13.25,11.65,11.85
Adrián Capapé,2000439539.0,12.65,12.75,13.7,13.1,12.65,13.0,13.1
Cayetano Guzmán,2000685791.0,11.2,12.05,11.65,10.75,11.2,11.9,13.05
Salvador Román,2000663176.0,12.95,11.5,11.65,11.65,12.95,12.35,9.9
Bruno Garba,2000663175.0,8.1,6.8,7.8,6.2,8.1,9.3,8.2
Jesús María,2000663172.0,9.1,6.45,7.25,6.65,9.1,8.7,8.45
Manu Miguens,2000663171.0,7.7,7.9,6.8,7.3,7.7,9.1,8.0
Adrián Carrero,2000629926.0,7.7,7.75,9.35,8.45,7.7,8.75,7.55
Serafín Cabezas,2000629922.0,8.85,9.25,9.9,9.35,8.85,8.75,8.45
Ramón Alfaro,2000511082.0,9.5,8.8,10.2,9.8,9.5,10.2,9.2
Biel Cárdenas,2000629927.0,8.65,9.05,7.6,7.9,8.65,10.3,8.8
Julio,2000629924.0,10.1,6.6,8.25,7.95,10.1,10.05,8.65
Iván Romero,2000629923.0,10.65,9.35,10.5,8.7,10.65,10.55,10.45
Luis Pomareta,2000629921.0,4.15,2.65,4.25,3.25,4.15,3.15,3.85
Santiago Martínez,2000570461.0,12.0,10.4,11.5,11.4,12.0,11.0,10.95
Félix Artigas,2000511083.0,10.6,9.7,9.5,10.3,10.6,10.1,8.5
Ignacio Caballero,2000511080.0,8.6,7.35,9.2,7.65,8.6,9.15,7.85
Juan Manuel Mejías,2000442677.0,10.1,10.3,11.1,10.0,10.1,11.4,9.95
Ismael Bermudo,2000439534.0,10.7,10.6,11.7,10.9,10.7,11.3,10.9
Themba Teneso,2000439093.0,13.2,12.0,12.4,12.2,13.2,12.3,11.7
Xavi Jiménez,2000194000.0,9.35,8.65,9.7,8.6,9.35,9.05,9.15
Juan Antonio,2000710692.0,6.4,3.75,6.05,4.95,6.4,7.9,6.1
Andrés Hernández,2000439538.0,10.1,9.0,9.9,8.6,10.1,12.1,8.2
Hirofumi Saitô,2000192902.0,14.0,10.8,11.6,11.1,14.0,12.2,10.1
Juma Haule,2000570456.0,11.05,10.4,10.9,10.9,11.05,11.6,10.5
Adrián Forcén,2000439535.0,13.7,10.8,11.3,11.3,13.7,12.8,10.4
