,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,AMC_attrs,Acc,9.0,12.0,13.0,14.0,15.0,18.0
1,AMC_attrs,Agi,7.0,12.5,14.5,16.0,16.5,19.0
2,AMC_attrs,Pac,7.0,12.0,13.0,14.0,15.0,18.0
3,AMC_attrs,Wor,6.0,11.0,12.0,14.0,15.0,18.0
4,AMC_attrs,Jum,2.0,6.0,8.0,10.0,13.0,17.0
5,AMC_attrs,Fir,9.5,13.0,14.0,15.0,16.0,19.0
6,AMC_attrs,Dri,8.0,11.0,13.0,14.0,15.0,18.0
7,AMC_attrs,Cmp,9.5,12.0,13.0,14.0,15.5,19.0
8,AMC_attrs,Sta,7.0,12.0,12.5,13.0,15.0,17.0
9,AMC_attrs,Pos,2.5,7.0,8.0,9.0,11.0,14.0
10,AMC_attrs,Cnt,3.0,9.0,10.0,11.5,13.0,16.0
11,AMC_attrs,Fre,2.5,7.0,9.0,12.0,13.5,18.0
12,AMC_attrs,Cor,4.0,7.5,9.0,10.5,12.0,18.0
13,AMC_attrs,Fin,5.5,8.0,10.0,11.5,13.0,19.0
14,AMC_attrs,OtB,10.0,12.5,13.5,15.0,16.0,20.0
15,AMC_attrs,Pas,7.5,12.5,13.5,15.0,16.0,18.0
16,AMC_attrs,Tec,8.5,13.5,15.0,16.0,17.0,20.0
17,AMC_attrs,Ant,7.0,11.5,13.0,14.0,15.0,18.0
18,AMC_attrs,Dec,9.5,12.0,13.0,14.0,15.0,19.0
19,AMC_attrs,Lon,3.0,9.5,11.0,12.0,13.0,18.0
20,AMC_attrs,Fla,5.0,12.5,14.0,15.0,16.0,20.0
21,AMC_attrs,Tck,2.0,5.0,6.5,7.5,10.0,16.5
22,AMC_attrs,Hea,3.0,7.0,8.0,10.0,12.0,17.0
23,AMC_attrs,Agg,3.0,7.5,9.0,11.0,13.0,18.0
24,AMC_attrs,Bra,2.5,7.5,9.0,10.5,13.0,18.5
25,AMC_attrs,Bal,8.0,11.5,13.0,15.0,16.0,19.0
26,AMC_attrs,Str,4.0,9.0,10.0,11.0,13.0,16.0
27,AMC_attrs,Det,5.5,11.5,13.5,14.5,16.0,19.0
28,AMC_attrs,Mar,2.0,5.0,6.5,8.0,10.0,15.0
29,AMC_attrs,Vis,9.0,12.5,14.0,15.0,16.0,19.0
30,AMC_attrs,Tea,6.5,11.0,12.0,13.0,14.0,19.0
31,AMC_attrs,Cro,4.0,8.5,10.0,10.5,13.0,16.0
32,AMC_attrs,Ldr,1.5,7.5,9.0,11.0,13.0,18.0
33,AMC_attrs,Nat,5.5,11.5,13.0,14.0,16.0,20.0
34,AMC_attrs,L Th,1.0,4.0,5.5,6.5,8.0,16.5
35,AMC_attrs,Pen,2.5,7.0,9.0,10.5,12.0,19.0
36,AMC_attrs,Aer,1.0,2.0,2.0,2.5,3.0,5.0
37,AMC_attrs,Cmd,1.0,1.5,2.0,2.5,3.0,5.5
38,AMC_attrs,Com,1.0,2.0,2.0,2.5,3.0,6.0
39,AMC_attrs,Ecc,1.0,1.5,2.0,2.5,3.0,5.0
40,AMC_attrs,Han,1.0,1.5,2.0,2.5,3.0,5.5
41,AMC_attrs,Kic,1.0,1.5,2.0,2.5,3.0,5.0
42,AMC_attrs,Pun,1.0,1.5,2.0,2.5,3.0,5.5
43,AMC_attrs,1v1,1.0,1.5,2.0,3.0,3.5,5.5
44,AMC_attrs,Ref,1.0,1.5,2.0,2.5,3.0,4.5
45,AMC_attrs,TRO,1.0,1.5,2.0,2.5,3.0,5.5
46,AMC_attrs,Thr,1.0,1.5,2.0,2.5,3.0,5.5
47,AMC_attrs,Age,17.0,21.0,23.0,27.0,31.0,35.0
