,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,AMR_attrs,Acc,10.0,13.0,14.0,15.0,16.0,19.0
1,AMR_attrs,Agi,9.0,14.0,15.0,16.0,17.0,20.0
2,AMR_attrs,Pac,7.5,13.0,14.0,15.0,16.0,19.0
3,AMR_attrs,Wor,5.5,11.0,12.0,13.0,15.0,19.0
4,AMR_attrs,Jum,2.0,6.0,8.0,11.0,13.0,20.0
5,AMR_attrs,Fir,8.0,12.0,13.0,14.0,16.0,18.0
6,AMR_attrs,Dri,7.5,11.5,13.5,14.0,15.5,19.0
7,AMR_attrs,Cmp,8.0,11.5,13.0,13.5,15.0,19.0
8,AMR_attrs,Sta,7.0,12.0,13.0,14.0,14.5,18.0
9,AMR_attrs,Pos,2.5,6.0,7.5,8.5,10.0,14.5
10,AMR_attrs,Cnt,3.0,9.0,10.0,11.0,12.5,16.0
11,AMR_attrs,Fre,2.0,7.0,9.0,10.5,13.0,16.5
12,AMR_attrs,Cor,3.0,7.0,9.0,10.0,11.5,16.0
13,AMR_attrs,Fin,5.0,8.5,10.0,12.0,14.0,17.0
14,AMR_attrs,OtB,8.5,12.0,13.5,14.5,15.5,20.0
15,AMR_attrs,Pas,6.5,11.5,12.5,13.5,15.0,17.0
16,AMR_attrs,Tec,9.0,13.0,14.0,15.0,17.0,19.0
17,AMR_attrs,Ant,7.5,10.5,12.0,13.0,14.0,19.0
18,AMR_attrs,Dec,8.0,11.5,12.5,13.0,14.0,19.0
19,AMR_attrs,Lon,4.0,9.0,10.5,11.5,12.5,15.0
20,AMR_attrs,Fla,6.0,13.0,14.0,15.0,16.0,20.0
21,AMR_attrs,Tck,2.0,4.5,6.0,7.0,9.0,14.0
22,AMR_attrs,Hea,3.0,7.0,8.0,9.0,11.0,16.0
23,AMR_attrs,Agg,3.0,8.0,9.0,11.0,13.5,19.5
24,AMR_attrs,Bra,2.5,8.0,9.0,10.5,13.0,18.5
25,AMR_attrs,Bal,7.0,12.0,13.5,15.0,16.0,18.5
26,AMR_attrs,Str,4.0,9.0,10.0,11.0,12.0,16.0
27,AMR_attrs,Det,5.0,11.5,13.5,14.5,16.0,19.5
28,AMR_attrs,Mar,1.0,4.5,6.0,7.0,9.0,13.5
29,AMR_attrs,Vis,5.0,10.0,12.0,13.0,14.5,18.0
30,AMR_attrs,Tea,6.5,10.0,11.5,12.0,14.0,19.0
31,AMR_attrs,Cro,5.0,9.5,10.5,12.0,13.5,16.0
32,AMR_attrs,Ldr,2.0,7.0,8.5,10.0,12.0,18.0
33,AMR_attrs,Nat,7.5,12.0,13.0,14.0,15.5,20.0
34,AMR_attrs,L Th,1.0,4.0,5.0,7.0,8.0,13.0
35,AMR_attrs,Pen,2.5,6.5,8.0,10.0,12.0,18.0
36,AMR_attrs,Aer,1.0,2.0,2.0,2.5,3.0,5.0
37,AMR_attrs,Cmd,1.0,2.0,2.0,2.5,3.0,5.0
38,AMR_attrs,Com,1.0,1.5,2.0,2.5,3.0,5.0
39,AMR_attrs,Ecc,1.0,2.0,2.0,2.5,3.0,5.0
40,AMR_attrs,Han,1.0,2.0,2.0,2.5,3.0,5.5
41,AMR_attrs,Kic,1.0,1.5,2.0,2.5,3.0,5.5
42,AMR_attrs,Pun,1.0,1.5,2.0,3.0,3.0,5.5
43,AMR_attrs,1v1,1.0,1.5,2.0,2.5,3.0,5.5
44,AMR_attrs,Ref,1.0,1.5,2.0,2.5,3.0,5.5
45,AMR_attrs,TRO,1.0,1.5,2.0,2.5,3.0,4.5
46,AMR_attrs,Thr,1.0,2.0,2.0,2.5,3.0,4.5
47,AMR_attrs,Age,18.0,21.0,23.0,27.0,30.0,35.0
