,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,DM_abis,Aerial,3.0,8.0,11.0,13.0,15.0,18.0
1,DM_abis,Awareness,9.17,12.0,13.33,14.0,14.67,16.67
2,DM_abis,Clearing,3.5,9.0,10.0,11.0,14.0,18.0
3,DM_abis,Closing,9.0,11.5,12.5,13.25,14.25,16.5
4,DM_abis,Control,7.0,10.75,12.5,13.25,14.5,18.5
5,DM_abis,Creativity,10.0,11.5,12.33,13.0,13.67,16.33
6,DM_abis,Crossing,6.0,9.67,11.0,11.83,13.0,16.33
7,DM_abis,Decision,10.5,12.5,13.5,14.0,15.0,17.5
8,DM_abis,Defensive,9.0,11.5,12.5,13.25,14.25,16.5
9,DM_abis,Dribbling,6.5,9.25,10.75,12.0,13.0,16.5
10,DM_abis,Focus,8.0,11.75,12.75,13.25,14.25,17.0
11,DM_abis,Endeavour,9.25,12.0,12.62,13.5,14.5,17.88
12,DM_abis,Intelligence,10.0,11.8,12.4,13.2,14.0,16.2
13,DM_abis,Marking,7.67,11.5,12.5,13.0,14.0,16.0
14,DM_abis,Mobility,7.12,11.75,12.88,13.5,14.25,16.88
15,DM_abis,Movement,10.5,12.67,13.5,14.17,15.17,16.67
16,DM_abis,Off The Ball,4.5,8.0,10.0,11.5,13.0,17.5
17,DM_abis,Passing,6.0,11.25,12.75,13.5,14.5,18.5
18,DM_abis,Physical,8.5,11.0,12.5,13.5,14.5,17.25
19,DM_abis,Shooting,5.33,8.33,9.67,10.5,12.0,15.33
20,DM_abis,Tackling,6.0,12.0,13.0,13.0,15.0,18.0
