,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,GK_abis,Aerial,0.0,13.0,14.0,15.0,16.0,19.0
1,GK_abis,Awareness,0.0,10.0,11.0,11.83,13.0,15.67
2,GK_abis,Clearing,0.0,1.5,1.5,2.5,5.5,12.0
3,GK_abis,Closing,0.0,10.5,11.0,12.5,13.5,16.5
4,GK_abis,Control,0.0,5.25,7.5,9.0,11.0,13.5
5,GK_abis,Creativity,0.0,8.67,9.33,10.17,11.0,15.33
6,GK_abis,Crossing,0.0,5.5,6.17,7.83,9.33,11.0
7,GK_abis,Decision,0.0,11.5,12.0,13.0,13.75,17.25
8,GK_abis,Defensive,0.0,10.5,11.0,12.5,13.5,16.5
9,GK_abis,Dribbling,0.0,4.0,4.5,6.0,7.25,11.0
10,GK_abis,Focus,0.0,10.5,11.5,12.5,13.5,16.5
11,GK_abis,Endeavour,0.0,10.25,11.0,11.62,12.12,14.62
12,GK_abis,Intelligence,0.0,9.2,10.0,10.5,12.0,14.6
13,GK_abis,Marking,0.0,7.5,8.5,9.17,9.83,11.67
14,GK_abis,Mobility,0.0,10.0,10.88,11.75,12.25,14.0
15,GK_abis,Movement,0.0,11.33,12.33,12.83,13.67,15.83
16,GK_abis,Off The Ball,0.0,1.5,2.0,2.5,3.0,11.0
17,GK_abis,Passing,0.0,7.5,8.5,10.5,12.5,15.5
18,GK_abis,Physical,0.0,9.5,10.0,11.5,12.0,14.25
19,GK_abis,Shooting,0.0,3.0,3.67,4.67,5.67,7.0
20,GK_abis,Tackling,0.0,1.5,2.0,2.5,3.0,5.0
