,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,MR_abis,Aerial,2.0,6.0,8.0,10.0,13.0,16.0
1,MR_abis,Awareness,8.5,10.5,11.83,12.83,13.83,16.67
2,MR_abis,Clearing,3.0,7.0,8.0,9.0,10.0,14.5
3,MR_abis,Closing,7.0,9.0,10.0,11.0,12.0,15.0
4,MR_abis,Control,10.0,12.0,14.0,14.5,15.5,18.0
5,MR_abis,Creativity,9.0,11.5,12.5,13.33,14.0,16.67
6,MR_abis,Crossing,9.0,11.67,12.67,13.67,14.67,16.67
7,MR_abis,Decision,8.0,10.5,12.0,13.0,14.0,16.75
8,MR_abis,Defensive,7.0,9.0,10.0,11.0,12.0,15.0
9,MR_abis,Dribbling,9.0,12.5,13.5,14.5,15.0,18.0
10,MR_abis,Focus,7.25,10.5,11.25,12.0,13.0,16.5
11,MR_abis,Endeavour,7.5,10.25,11.12,12.12,13.5,16.25
12,MR_abis,Intelligence,9.2,11.3,12.2,13.1,14.0,16.0
13,MR_abis,Marking,6.17,7.83,8.67,9.5,10.67,14.67
14,MR_abis,Mobility,7.12,13.38,14.0,15.0,15.75,18.0
15,MR_abis,Movement,8.67,10.67,12.0,13.0,13.5,16.5
16,MR_abis,Off The Ball,7.5,12.0,13.0,14.0,15.0,20.0
17,MR_abis,Passing,9.0,12.0,13.0,14.0,15.5,17.5
18,MR_abis,Physical,7.0,10.25,11.25,12.5,13.25,17.0
19,MR_abis,Shooting,7.17,10.33,11.17,11.83,13.33,15.33
20,MR_abis,Tackling,2.5,5.0,6.0,8.0,10.0,14.0
