,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,WBR_abis,Aerial,3.0,7.0,10.0,12.0,14.0,17.0
1,WBR_abis,Awareness,10.17,11.33,12.0,12.67,13.67,16.5
2,WBR_abis,Clearing,5.0,8.0,9.0,10.0,11.0,15.0
3,WBR_abis,Closing,8.5,11.5,11.75,12.75,13.75,15.5
4,WBR_abis,Control,7.0,11.0,12.0,12.5,13.5,16.5
5,WBR_abis,Creativity,10.17,11.33,11.83,12.33,13.67,15.67
6,WBR_abis,Crossing,7.33,10.83,11.67,12.17,12.83,14.33
7,WBR_abis,Decision,9.0,12.0,12.75,13.5,14.0,16.5
8,WBR_abis,Defensive,8.5,11.5,11.75,12.75,13.75,15.5
9,WBR_abis,Dribbling,6.5,10.25,11.0,11.75,13.0,15.5
10,WBR_abis,Focus,10.5,12.0,12.5,13.0,13.5,15.25
11,WBR_abis,Endeavour,9.12,11.0,12.5,13.38,14.25,16.75
12,WBR_abis,Intelligence,10.4,11.3,11.7,12.4,13.2,14.6
13,WBR_abis,Marking,6.83,11.33,12.0,12.5,13.5,16.0
14,WBR_abis,Mobility,8.25,13.12,13.62,14.38,15.25,16.0
15,WBR_abis,Movement,9.5,12.5,12.83,13.67,14.33,16.67
16,WBR_abis,Off The Ball,7.0,9.0,10.0,11.0,12.0,18.0
17,WBR_abis,Passing,8.5,11.5,12.0,13.0,13.5,15.5
18,WBR_abis,Physical,9.25,11.0,12.0,13.25,13.75,15.0
19,WBR_abis,Shooting,5.33,7.17,9.0,9.83,10.33,13.17
20,WBR_abis,Tackling,6.0,11.0,12.0,13.0,14.0,20.0
