Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
José Curras,67294881.0,13.0,13.0,13.5,10.67,8.17,11.0,10.5,14.08,alaves
Arnau Comas,67258409.0,13.33,13.25,14.0,11.0,8.5,9.5,14.5,12.75,alaves
Samir Kacem,2000433838.0,13.33,13.88,14.0,8.83,6.5,10.33,12.0,14.5,alaves
Arnar Bragason,2000357424.0,14.33,14.62,12.5,8.5,9.33,9.83,11.0,13.08,alaves
David Martínez,14136117.0,14.0,12.88,13.5,12.5,9.5,12.0,12.0,12.75,alaves
Ibrahim Sangaré,48042717.0,13.67,14.5,11.0,12.33,9.83,11.5,14.25,12.17,alaves
Juan Ángel Muñoz,2000512204.0,13.33,12.38,12.0,9.0,7.5,8.17,13.5,14.0,albacete
Junior Esparragoza,2000179937.0,14.0,14.0,12.5,10.17,7.17,7.33,11.0,13.75,albacete
Ricardo Peralta,2000438819.0,12.67,11.75,11.5,7.0,7.17,8.0,14.5,14.33,albacete
Antonio Sánchez,67272744.0,11.0,11.88,11.75,11.83,11.33,9.33,8.5,12.08,albacete
Fali,67155014.0,13.0,7.88,7.25,9.83,9.0,10.17,13.5,14.5,albacete
Marc Jurado,2000032704.0,12.33,14.0,17.0,12.33,11.0,14.33,9.5,12.0,amadrd
Nehuén Pérez,14181374.0,16.0,15.0,15.5,10.33,10.0,10.67,13.5,15.33,amadrd
Malang Sarr,48036830.0,14.0,15.5,15.5,13.0,11.67,13.0,13.5,14.5,amadrd
Gonzalo Sánchez,2000416515.0,12.67,16.0,18.0,11.0,11.33,13.33,9.5,14.17,amadrd
José Giménez,78060464.0,15.67,11.0,10.0,11.0,11.0,11.33,13.5,15.83,amadrd
Dimo Krastev,22081455.0,13.33,14.62,13.25,14.0,11.67,11.67,16.0,11.75,amadrd
Ronald Araújo,78085068.0,15.67,13.75,14.5,11.67,9.0,12.33,16.5,15.0,barc
Alessandro Bastoni,43252460.0,14.67,15.5,14.0,12.33,11.33,12.0,16.0,15.17,barc
Juan Vela,2000489085.0,14.67,15.38,14.75,10.83,11.0,10.33,15.5,13.5,barc
Pau Torres,67217522.0,16.33,12.25,13.5,10.0,8.0,12.0,16.5,14.5,barc
Benoît Badiashile,49038942.0,14.33,15.5,15.0,12.0,9.67,11.83,17.0,13.92,barc
Yeray,67192475.0,14.67,11.25,12.5,10.0,8.67,9.83,13.0,14.92,bilbao
Unai Núñez,67214595.0,15.0,12.75,12.5,9.0,9.0,9.17,13.5,14.25,bilbao
Josema,2000682315.0,13.33,16.0,12.5,12.5,9.83,13.33,11.5,15.92,bilbao
Unai Vencedor,67260207.0,13.0,15.5,15.0,13.67,11.17,14.0,8.5,14.17,bilbao
Íñigo Merino,2000442705.0,12.67,12.12,12.0,9.5,5.83,10.0,13.0,14.42,bilbao
Adrián Corral,2000057468.0,15.0,13.38,14.75,9.33,7.67,9.33,14.5,12.08,cadiz
Timo Baumgartl,92065892.0,13.33,11.12,10.0,6.83,9.0,9.83,13.0,12.92,cadiz
Tarsi Bakero,2000193403.0,14.67,13.88,14.25,11.33,8.33,12.0,12.5,13.08,cadiz
Cacá,19350725.0,13.67,12.12,12.25,10.83,10.33,11.5,13.0,13.5,cadiz
Juan Luis,2000664823.0,13.17,11.5,12.0,7.83,8.67,8.17,11.5,13.92,cadiz
Luis Muñoz,90065199.0,12.33,10.75,11.0,7.33,6.17,9.0,11.5,13.75,coruna
Karim Pérez,2000193717.0,12.67,14.38,12.5,6.83,5.67,8.83,15.0,12.92,coruna
Leander Dendoncker,18057380.0,12.67,10.25,9.5,11.0,10.5,8.83,14.0,13.08,coruna
Enock Kwateng,85134692.0,13.33,11.88,11.5,11.83,9.17,10.0,10.5,13.25,coruna
Dani,2000571661.0,12.17,13.0,10.25,9.33,7.0,8.17,11.25,12.75,coruna
César Ramírez,2000194011.0,12.67,13.5,11.0,9.33,9.0,11.5,9.5,15.08,espanyol
Isak Amundsen,53178292.0,12.67,14.75,13.0,9.17,8.33,10.67,13.5,14.08,espanyol
Dušan Stojinović,62218369.0,13.0,12.38,12.0,9.33,10.5,10.17,14.0,12.0,espanyol
Chumi,95036003.0,13.33,12.25,12.0,10.0,7.33,9.5,13.5,13.08,espanyol
Guillem Molina,67260507.0,15.0,12.5,15.0,8.83,8.17,7.67,13.5,12.75,espanyol
Toni Herrero,67277687.0,13.33,12.5,14.0,11.67,11.0,12.67,10.5,13.17,espanyol
Carlos,2000202592.0,14.33,13.62,14.25,11.5,9.67,8.5,11.0,11.33,espanyol
Cristian Manea,57120897.0,13.33,13.25,14.5,10.67,10.5,9.5,11.5,12.75,granada
Lovre Vujčić,2000188309.0,13.67,14.0,14.0,10.0,7.0,9.67,14.0,12.67,granada
Jorge Cuenca,67248170.0,13.67,13.38,13.5,9.83,8.0,10.83,15.0,13.08,granada
Ismael Casas,67271373.0,12.67,12.88,15.0,10.83,10.33,11.5,8.5,13.58,granada
Ulises Campus,2000273292.0,14.67,13.12,13.25,8.0,7.67,10.33,11.5,14.67,granada
Saúl Salcedo,79026928.0,14.67,11.5,10.0,9.0,9.5,9.33,14.5,14.08,granada
Alberto Quintana,67280840.0,12.0,11.88,12.75,12.67,10.33,12.33,15.0,12.83,granada
Denis Vavro,63025710.0,14.67,13.75,12.75,8.0,10.67,7.5,15.5,14.42,granada
Antonio Raúl Escuín,2000440594.0,14.0,14.38,13.0,8.83,8.67,8.83,13.5,13.75,granada
Clement Nwabueze,2000710897.0,13.67,14.5,13.0,9.67,9.33,11.0,12.5,13.17,laspalmas
Eugene Kulakov,2000434056.0,13.33,13.75,13.0,9.0,9.0,10.33,13.5,12.83,laspalmas
Fajar Bayhaqi,2000439532.0,11.67,12.75,10.5,11.33,8.67,12.0,10.0,14.5,laspalmas
Imanol,67276239.0,14.0,12.0,13.0,9.5,8.5,11.5,10.5,14.08,laspalmas
Jordan Torunarigha,91137260.0,14.0,11.75,14.0,12.67,11.0,11.67,15.0,12.5,laspalmas
Nikola Katic,24047814.0,12.67,11.75,9.5,7.33,8.83,10.33,17.0,12.92,laspalmas
Rasmus Lauritsen,27069979.0,13.33,12.88,12.25,9.33,9.67,7.67,15.0,14.75,leganes
Gabriel Torres,2000438016.0,15.0,13.25,12.0,8.0,8.0,8.33,13.5,13.33,leganes
Patric,67100019.0,14.0,8.88,6.75,13.17,10.33,11.83,11.5,15.5,leganes
Dominik Kruzliak,63026929.0,14.0,9.62,7.5,6.17,9.33,6.83,13.0,14.25,leganes
Omar Rekik,91187786.0,13.0,11.25,14.5,12.0,10.0,11.67,12.0,13.17,realhisp
Benjamín Kuscevic,75032824.0,14.33,11.62,11.0,8.67,6.83,9.33,13.5,13.25,realhisp
Valentín Delmás,2000192672.0,12.0,13.75,12.5,13.83,9.17,13.83,10.5,13.58,realhisp
Mujaid Sadick,67249928.0,14.67,13.12,12.75,9.5,10.0,9.83,11.5,13.17,realhisp
Friday Opara,2000442249.0,12.0,13.0,11.5,11.33,7.17,10.33,9.0,13.08,realhisp
Kostyantyn Vivcharenko,71113673.0,12.0,13.5,14.5,10.5,10.83,12.83,9.5,13.92,realhisp
Joselito,2000510697.0,12.0,12.75,13.0,7.67,7.17,6.83,11.5,14.25,realhisp
Takehiro Tomiyasu,45095490.0,14.33,15.0,15.0,13.67,11.0,12.67,13.5,14.17,rmdrd
Boubacar Kamara,48043084.0,14.67,15.25,15.5,13.5,11.0,13.0,14.0,14.75,rmdrd
Éder Militão,19273276.0,14.67,15.25,15.0,12.33,11.0,12.33,14.0,14.67,rmdrd
Zinho Vanheusden,18091405.0,15.33,13.25,13.0,14.67,11.0,10.67,15.0,14.0,rmdrd
Edmond Tapsoba,13196616.0,13.67,14.12,14.0,13.33,10.5,12.83,16.0,13.5,rmdrd
William Saliba,49039004.0,13.67,15.5,15.0,11.33,10.33,11.33,15.5,14.0,rsana
Robin Le Normand,48037162.0,14.67,14.0,13.5,10.33,8.33,11.33,15.0,14.17,rsana
Renato Pereira,2000190646.0,12.0,15.0,13.0,12.67,9.67,11.33,11.0,13.83,rsana
Ignacio Vallina,2000570634.0,13.33,14.5,14.5,14.33,10.67,14.0,13.5,15.67,rsana
David Carmo,83111598.0,13.0,13.25,12.0,11.67,10.67,11.33,14.5,13.67,rsana
Lukas Mohr,2000432897.0,14.0,14.0,14.5,9.33,8.33,11.33,13.0,13.17,rsana
Denis Zakaria,98034601.0,13.33,14.0,14.0,12.0,11.33,12.33,13.0,13.83,rsana
António Silva,83320135.0,15.33,14.0,17.0,11.33,8.67,7.33,13.5,12.5,rsana
John Damiano,2000435431.0,13.67,13.75,13.0,9.67,8.0,10.67,6.5,16.17,rsana
Souza,2000607666.0,15.0,15.5,14.0,12.33,9.67,11.0,15.0,15.33,rsana
Emmanuel,2000569770.0,14.67,13.88,12.25,12.0,8.17,9.5,13.5,15.42,sevilla
José Marsà,67279755.0,14.0,14.5,15.5,13.0,9.67,12.0,13.0,13.67,sevilla
José María Noguera,2000438352.0,14.33,14.25,14.0,11.67,8.0,12.33,13.5,14.0,sevilla
Federico Real,2000193194.0,15.5,13.5,13.75,10.33,8.0,11.33,7.0,14.42,sevilla
Dario Maresic,16170605.0,13.0,14.75,13.5,13.0,7.67,12.33,14.0,13.5,sevilla
Jordan Henderson,28005568.0,14.33,8.75,5.5,13.0,12.33,12.33,10.5,16.33,sevilla
Andri Fannar Sigurgeirsson,2000439839.0,13.67,13.0,13.25,10.67,8.67,8.83,12.0,14.08,sevilla
Urko González de Zárate,2000058330.0,14.0,12.75,15.0,10.67,6.0,9.0,14.5,11.83,valencia
Rubén Iranzo,2000032467.0,15.33,15.0,15.5,12.67,12.0,11.33,15.0,13.17,valencia
Enrico Brancadori,2000436507.0,16.33,16.5,16.0,13.67,11.33,13.33,17.5,14.67,valencia
Mouctar Diakhaby,48036643.0,14.33,13.88,12.5,10.83,8.5,10.33,15.5,14.25,valencia
Georges Teixeira,2000187375.0,13.33,13.38,13.0,10.5,7.67,9.17,15.0,13.42,valencia
Nicolas Cozza,49037761.0,13.33,14.5,13.0,12.33,11.33,12.0,11.5,13.17,valencia
Cristhian Mosquera,2000030816.0,12.67,13.88,13.0,10.17,7.83,8.33,13.5,12.42,valencia
Nikola Colic,2000212623.0,14.67,13.88,13.0,8.83,7.5,11.0,11.0,14.75,vallecano
Ramón Santos,2000440896.0,13.0,14.0,14.75,10.0,7.0,9.5,12.5,13.25,vallecano
Xabier Gourgues,2000663362.0,12.33,13.25,13.5,8.33,9.33,10.0,15.0,14.5,vallecano
Jordi,2000513013.0,14.33,13.62,13.75,12.33,8.33,11.67,13.0,13.25,vallecano
Silvan Hefti,98038279.0,13.33,13.0,13.0,10.0,9.83,9.83,11.0,12.75,vallecano
Carlos Abraham,2000440884.0,13.33,12.75,11.5,9.33,8.83,10.0,9.0,14.42,vallecano
Santi Comesaña,67224142.0,12.0,11.0,11.75,12.33,11.33,11.0,12.0,12.92,vallecano
