Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Samir Kacem,2000433838,0,0,1,1,0,1,0,0,0,0,0,0,0,0,alaves
Javi López,67293674,0,0,0,1,0,0,1,0,0,1,0,0,0,0,alaves
David Martínez,14136117,0,0,1,1,0,0,0,0,0,0,0,0,0,0,alaves
Birger Meling,29126536,0,0,0,1,0,0,1,0,0,1,0,0,1,0,alaves
Vyacheslav Karavaev,58076747,0,1,0,1,1,0,0,0,0,0,0,0,0,0,alaves
Josep,2000513274,0,0,0,1,0,0,1,0,0,0,0,0,0,0,albacete
Malang Sarr,48036830,0,0,1,1,0,0,0,0,0,0,0,0,0,0,amadrd
Gonzalo Sánchez,2000416515,0,0,1,1,0,0,0,0,0,0,0,0,1,0,amadrd
Juan Manuel,2000510085,0,0,0,1,0,0,1,0,0,1,0,0,0,0,amadrd
Thomas Lemar,85093001,0,0,0,1,0,0,0,1,1,1,1,1,1,0,amadrd
Noël Roux,2000188122,0,1,0,1,0,0,0,0,1,0,1,0,0,0,barc
Juan Vela,2000489085,0,1,1,1,0,0,0,0,0,0,0,0,0,0,barc
Sergio Reguilón,67211900,0,0,0,1,0,0,1,0,0,0,0,0,0,0,barc
Julen Letamendia,2000570277,0,1,0,1,0,1,1,0,0,0,0,0,0,0,bilbao
Oier López,67277836,0,0,0,1,0,0,1,0,0,0,0,0,0,0,bilbao
Íñigo Merino,2000442705,0,0,1,1,0,1,0,0,0,0,0,0,0,0,bilbao
Cameron Wells,2000431769,0,1,0,1,0,0,1,0,0,0,0,0,0,0,cadiz
Adrián Corral,2000057468,0,0,1,1,0,0,0,0,0,0,0,0,0,0,cadiz
Luka Jovanović,2000604683,0,0,0,1,1,0,0,1,0,0,1,0,1,0,cadiz
Maximilian Mittelstädt,91143714,0,0,0,1,0,0,1,0,0,1,0,0,0,0,cadiz
Nico Mickelson,53138009,0,1,0,1,1,0,0,0,0,0,0,0,0,0,cadiz
Juan Luis,2000664823,0,0,1,1,0,0,0,0,1,0,0,0,0,0,cadiz
Tommaso Augello,43096264,0,0,0,1,0,0,1,0,0,1,0,0,0,0,coruna
Acyr,2000408996,0,1,0,1,0,0,1,0,0,0,0,0,0,0,coruna
Lucas Forsberg,93141098,0,1,0,1,1,0,0,0,0,0,0,0,0,0,espanyol
Toni Herrero,67277687,0,0,1,1,0,0,1,0,0,0,0,0,0,0,espanyol
Tymoteusz Puchacz,96086694,0,0,0,1,0,0,1,0,0,0,1,0,1,0,espanyol
Josep,2000513274,0,0,0,1,0,0,1,0,0,0,0,0,0,0,espanyol
Jorge Cuenca,67248170,0,0,1,1,0,0,0,0,0,0,0,0,0,0,granada
Ismael Casas,67271373,0,1,1,1,1,0,0,0,0,0,0,0,0,0,granada
Imanol,67276239,0,0,1,1,0,0,1,0,0,0,0,0,0,0,laspalmas
Jordan Torunarigha,91137260,0,0,1,1,0,0,0,0,0,0,0,0,0,0,laspalmas
Gil Dias,55082920,0,0,0,1,0,0,0,1,0,0,1,1,1,0,laspalmas
Javi Galán,67243881,0,0,0,1,0,0,1,0,0,1,0,0,1,0,laspalmas
Nikola Katic,24047814,0,1,1,1,0,0,0,0,0,0,0,0,0,0,laspalmas
Jose Alcaide,2000437774,0,1,0,1,0,0,0,0,0,0,0,0,0,0,laspalmas
Ryan Johansson,90086790,0,1,0,1,1,1,0,0,1,0,0,0,0,0,leganes
Gabriel Torres,2000438016,0,0,1,1,0,1,0,0,0,0,0,0,0,0,leganes
Braian Cufré,14131295,0,0,0,1,0,1,1,0,1,0,0,0,0,0,leganes
Sergi Rosanas,67265793,0,1,0,1,1,0,0,0,0,0,0,0,0,0,leganes
