Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Andrés Céspedes,2000043877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,alaves
Carlos Abad,67198215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,alaves
Stefan Ranđelović,62247042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,alaves
Mauricio Morán,2000192669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,albacete
Guillermo Centurión,78095397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,albacete
Sem Westerveld,37079077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,albacete
Jan Oblak,64016316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,amadrd
Matteo Godfroid,18114989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,amadrd
Unai Simón,67200923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,barc
Marc-André ter Stegen,35017428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,barc
Diego Aizpurua,2000193388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,bilbao
Arkaitz Jauregi,2000350400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,bilbao
Alfredo Trelles,2000200467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cadiz
Juan Soriano,67193103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,cadiz
José Aurelio Suárez,67153377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,coruna
Saúl,2000664224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,coruna
Gregor Kobel,98040383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,espanyol
Cezary Miszta,96122113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,espanyol
Arnau Tenas,67265794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,granada
Cristian Rivero,67246343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,granada
Koke Vegas,67196252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,laspalmas
Alfredo Iglesias,2000194460,1,0,0,0,0,0,0,0,0,0,0,0,0,0,laspalmas
Javi Izquierdo,67288498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,leganes
Aarón Escandell,67192427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,leganes
Ramiro Macagno,14157119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,realhisp
Jairo,2000737759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,realhisp
Dragan Rosić,62167554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,realhisp
Thibaut Courtois,18026122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,rmdrd
Francisco Mora,2000437769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,rmdrd
Kim Christian Høyenhall,2000182998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,rsana
Álex Remiro,67183918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,rsana
Arijanet Murić,28108492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,sevilla
Gautier Larsonneur,85133818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,valencia
Salvador Poveda,2000137183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,valencia
Predrag Rajković,62076152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,valencia
Pedro Javier López,2000202554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,vallecano
Alex Hernando,2000197164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,vallecano
Rubén Blanco,67156610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,vigo
Sergio Rico,67171745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,vigo
Emrah Ağın,2000244749,1,0,0,0,0,0,0,0,0,0,0,0,0,0,villareal
Carles,2000192884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,villareal
José Vicente Muñoz,2000509912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,villareal
Pablo,2000193992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,zaragoza
Martín Merino,2000201919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,zaragoza
