Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Javi López,67293674.0,15.0,12.5,11.0,14.25,13.0,13.0,12.17,12.25,14.25,12.5,14.25,8.75,12.8,14.17,14.5,12.33,12.5,12.0,13.25,8.0,14.0,alaves
Borja Sainz,67277845.0,8.0,11.17,11.0,12.5,14.25,12.33,14.17,11.25,12.5,13.0,10.75,12.62,12.0,11.33,13.5,11.0,12.5,13.75,10.75,12.5,10.0,alaves
Ander Imaz,2000439533.0,5.0,9.17,7.0,6.5,12.75,12.0,11.83,10.5,6.5,14.0,8.0,10.25,10.8,6.33,15.62,10.17,13.5,12.0,10.5,9.0,2.0,alaves
Lirim Kastrati,24058534.0,7.0,9.33,7.0,7.0,10.0,9.33,9.0,8.0,7.0,11.0,8.0,13.75,9.2,6.17,15.75,8.67,17.0,9.0,11.0,10.67,3.0,alaves
Asier Rodríguez,2000572954.0,6.0,10.17,8.0,7.5,15.0,11.5,12.5,11.5,7.5,16.0,9.25,11.38,11.4,7.5,13.75,10.33,10.0,12.0,8.5,10.0,4.5,alaves
Birger Meling,29126536.0,5.0,11.83,9.0,13.25,11.5,10.33,12.83,13.25,13.25,10.0,12.25,15.25,10.8,12.5,11.25,13.0,10.5,12.75,9.5,8.17,11.0,alaves
Rubén Garrido,2000515088.0,11.5,14.5,8.5,10.75,12.5,12.0,12.5,14.75,10.75,11.0,12.75,11.0,13.3,8.33,12.88,14.17,14.0,13.5,13.75,9.17,11.0,alaves
Ramiro Gabarri,2000198124.0,7.0,10.67,12.0,8.75,14.5,13.17,13.67,9.25,8.75,14.5,10.25,9.38,11.7,6.83,15.75,10.5,13.0,15.5,14.0,14.33,4.0,albacete
Alberto,2000512206.0,12.0,12.83,9.0,10.25,14.0,12.67,13.33,10.75,10.25,15.0,11.5,10.38,12.7,8.83,13.38,11.5,13.0,14.0,11.75,13.0,5.5,albacete
Kike Barja,67196202.0,7.0,13.67,8.0,10.5,14.0,13.83,13.33,13.75,10.5,14.5,12.0,10.25,14.1,8.83,12.38,13.17,14.0,13.5,10.25,11.17,8.5,albacete
Fran Pérez,95078306.0,13.0,8.5,9.0,9.0,15.5,12.33,14.33,10.0,9.0,13.75,10.5,8.75,10.4,8.5,14.0,10.17,12.5,15.5,9.75,10.83,5.0,albacete
Juan Manuel,2000510085.0,6.0,13.0,9.0,12.0,18.0,14.0,14.0,15.0,12.0,14.5,14.0,12.75,13.4,12.0,16.0,14.67,13.0,15.0,15.0,11.33,12.0,amadrd
Thomas Lemar,85093001.0,6.0,13.67,6.0,12.0,17.0,14.0,16.67,13.0,12.0,16.0,13.5,12.25,14.0,10.33,14.0,13.0,13.0,17.0,10.0,14.0,6.0,amadrd
Jonay Morán,2000194461.0,9.0,15.0,13.0,13.0,16.0,14.67,14.33,14.0,13.0,14.0,12.5,12.75,14.8,13.67,15.25,14.33,17.0,15.5,14.0,12.67,9.0,barc
Diego Laínez,51063318.0,5.0,14.0,7.0,11.5,15.0,14.67,14.67,12.5,11.5,16.5,15.0,13.5,14.2,9.33,16.25,13.33,17.0,15.0,13.0,11.67,7.0,barc
Rayan Cherki,49056279.0,9.0,13.67,9.0,13.0,17.0,14.33,15.0,13.0,13.0,17.5,14.0,10.0,14.2,10.67,15.5,13.0,15.0,15.5,15.5,14.67,4.0,barc
Pierre Fournier,2000435814.0,7.0,12.67,13.0,12.5,17.5,14.33,14.33,12.5,12.5,16.0,13.5,11.0,13.6,11.0,16.5,12.67,14.0,15.5,12.5,13.0,5.0,barc
Rodrygo,19306929.0,8.0,9.67,11.0,10.0,16.75,14.0,14.83,12.5,10.0,16.25,13.25,11.0,12.0,8.5,15.25,12.0,14.0,16.0,14.5,15.0,5.5,barc
Íñigo Herrera,2000510687.0,10.0,11.67,9.0,9.5,14.0,9.67,14.33,10.5,9.5,14.5,11.0,12.5,10.4,9.0,16.75,11.0,11.0,14.5,13.5,11.0,8.0,bilbao
Aimar Oroz,67276375.0,5.0,12.17,7.0,10.5,16.0,14.33,14.33,13.5,10.5,15.75,12.0,10.0,13.8,9.83,12.5,12.5,10.5,16.0,10.75,12.5,6.0,bilbao
Jon Magunazelaia,2000438619.0,8.0,15.33,9.0,10.25,14.25,13.67,11.83,15.0,10.25,13.0,11.25,11.62,14.5,8.83,13.38,14.83,14.5,14.0,11.5,11.0,7.0,bilbao
Maximilian Mittelstädt,91143714.0,10.0,13.33,8.0,11.75,13.25,11.83,13.0,12.75,11.75,12.0,12.0,13.38,12.7,11.17,12.5,12.5,12.0,13.0,9.5,8.83,12.0,cadiz
Henry Onyekuru,18093594.0,6.0,10.83,8.0,11.0,13.75,12.33,11.5,9.25,11.0,12.0,12.25,12.38,11.6,8.0,14.75,10.0,14.5,12.75,11.75,12.5,2.5,cadiz
Jan Crettaz,2000571662.0,9.0,13.33,14.0,10.5,14.0,12.33,11.0,12.5,10.5,13.5,10.5,15.0,12.0,11.33,13.75,14.0,11.0,13.0,13.5,12.0,17.0,coruna
Kepa Uriarte,67277833.0,15.0,9.33,8.0,11.0,13.75,12.0,14.17,12.0,11.0,13.25,11.25,11.25,11.2,9.5,14.25,10.67,13.0,14.5,11.5,11.33,4.5,coruna
Saúl Rodríguez,2000440182.0,7.0,11.67,15.0,9.5,14.5,13.33,12.0,12.0,9.5,13.0,11.0,13.0,12.6,7.33,16.25,12.0,15.0,12.0,12.0,12.0,2.0,coruna
Matías Cavalleri,75049257.0,5.0,12.33,8.0,11.0,13.75,13.33,14.17,13.0,11.0,13.75,12.75,10.25,12.8,8.83,14.25,13.0,13.0,14.0,11.0,11.67,2.5,coruna
Joaquín Correa,14042683.0,11.0,14.5,7.0,7.5,16.0,16.0,13.67,13.5,7.5,16.25,11.0,12.25,15.2,6.5,11.5,14.17,16.5,15.5,10.25,13.5,2.0,coruna
Tommaso Augello,43096264.0,9.0,11.83,6.0,13.25,12.5,11.67,13.5,13.75,13.25,10.0,12.25,13.75,11.6,13.17,10.0,13.33,11.5,12.75,10.5,10.17,12.0,coruna
