Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
Javi López,67293674.0,3.0,13.88,14.75,11.5,2.75,2.0,3.25,2.25,alaves
Borja Sainz,67277845.0,4.0,11.38,14.0,11.33,2.0,1.5,2.25,1.5,alaves
Ander Imaz,2000439533.0,2.5,13.5,16.0,9.75,2.25,4.0,2.0,3.0,alaves
Lirim Kastrati,24058534.0,3.75,13.0,18.0,10.33,2.75,3.5,2.0,3.75,alaves
Asier Rodríguez,2000572954.0,2.0,11.25,15.0,11.08,3.25,1.5,2.0,2.75,alaves
Birger Meling,29126536.0,2.25,10.5,11.0,13.58,2.0,2.5,3.75,2.0,alaves
Rubén Garrido,2000515088.0,2.25,14.12,11.5,13.08,2.25,1.0,3.0,3.25,alaves
Ramiro Gabarri,2000198124.0,1.75,14.62,15.0,10.17,1.75,1.5,2.0,2.0,albacete
Alberto,2000512206.0,2.0,13.38,13.0,10.17,2.5,1.5,3.25,1.75,albacete
Kike Barja,67196202.0,2.25,11.38,12.5,11.83,2.0,2.5,2.0,2.0,albacete
Fran Pérez,95078306.0,3.75,11.5,14.5,9.67,2.25,3.5,2.25,2.0,albacete
Juan Manuel,2000510085.0,2.5,15.75,14.0,13.83,2.5,4.0,1.5,2.5,amadrd
Thomas Lemar,85093001.0,3.0,12.0,14.0,12.67,2.0,3.0,2.0,2.0,amadrd
Jonay Morán,2000194461.0,3.0,14.5,15.0,13.33,2.5,2.5,3.25,1.75,barc
Diego Laínez,51063318.0,2.0,15.25,15.5,14.17,2.0,2.0,1.0,1.0,barc
Rayan Cherki,49056279.0,1.5,15.5,15.0,12.33,2.0,1.0,2.0,2.0,barc
Pierre Fournier,2000435814.0,3.0,13.5,17.5,12.83,1.0,2.0,1.5,1.5,barc
Rodrygo,19306929.0,2.75,14.88,15.0,12.42,2.75,1.5,2.5,2.25,barc
Íñigo Herrera,2000510687.0,3.5,14.5,16.5,11.17,3.0,3.0,2.5,1.5,bilbao
Aimar Oroz,67276375.0,3.25,11.75,13.0,11.67,2.5,3.5,2.5,2.25,bilbao
Jon Magunazelaia,2000438619.0,2.25,12.5,13.0,13.0,2.75,2.5,2.5,2.5,bilbao
Maximilian Mittelstädt,91143714.0,2.75,11.5,13.25,12.58,2.25,2.5,2.0,2.0,cadiz
Henry Onyekuru,18093594.0,2.5,12.38,15.0,11.17,2.75,2.5,2.25,2.0,cadiz
Jan Crettaz,2000571662.0,2.5,14.75,13.0,13.83,3.25,3.0,2.25,2.0,coruna
Kepa Uriarte,67277833.0,2.25,13.38,14.5,9.75,2.75,2.5,2.25,1.75,coruna
Saúl Rodríguez,2000440182.0,2.0,13.5,16.0,12.0,1.5,2.0,3.0,3.0,coruna
Matías Cavalleri,75049257.0,2.25,12.62,14.5,11.92,3.25,2.5,1.75,2.25,coruna
Joaquín Correa,14042683.0,3.5,10.25,12.0,13.0,2.25,2.5,2.0,2.25,coruna
Tommaso Augello,43096264.0,2.0,10.0,9.5,13.25,2.75,2.5,2.75,2.0,coruna
Tasos Chatzigiovanis,36096701.0,2.5,11.12,15.0,9.42,2.5,2.0,3.25,2.25,coruna
