Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Borja Sainz,67277845,0,0,0,0,0,0,0,1,0,1,1,0,0,1,alaves
Lirim Kastrati,24058534,0,0,0,0,0,0,0,1,0,1,1,0,1,1,alaves
Mamadou Coly,2000440193,0,0,0,0,0,0,0,1,0,0,1,0,0,0,albacete
Kike Barja,67196202,0,0,0,0,0,0,0,1,0,1,1,0,1,0,albacete
Fran Pérez,95078306,0,0,0,0,0,0,0,1,0,1,1,0,1,0,albacete
Ángel Luis Arcas,2000571805,0,1,0,0,1,0,0,1,0,0,0,1,0,0,albacete
Nikola Stanković,2000211075,0,0,0,0,0,0,0,1,1,0,1,0,0,0,amadrd
Thomas Lemar,85093001,0,0,0,1,0,0,0,1,1,1,1,1,1,0,amadrd
Lee Sang-Hoon,2000495264,0,0,0,0,0,0,0,1,0,0,1,0,0,0,amadrd
Alexander Villarreal,2000499325,0,0,0,0,0,0,0,1,0,0,1,1,0,0,amadrd
Diego Laínez,51063318,0,0,0,0,0,0,0,1,0,1,1,1,1,0,barc
Dejan Kulusevski,43295814,0,0,0,0,0,0,0,1,1,0,1,1,0,1,barc
Rodrygo,19306929,0,0,0,0,0,0,0,1,0,1,1,0,1,1,barc
Carlos Bidaurrázaga,2000573859,0,0,0,0,0,0,0,1,0,0,1,0,1,1,bilbao
Fran Alonso,2000570282,0,0,0,0,0,0,0,1,1,0,1,1,0,0,bilbao
Javier Karanka,2000193733,0,0,0,0,0,0,0,1,1,0,1,0,1,0,bilbao
Luka Jovanović,2000604683,0,0,0,1,1,0,0,1,0,0,1,0,1,0,cadiz
Gerardo Gallardo,2000440602,0,0,0,0,0,0,0,1,1,0,1,1,0,0,cadiz
Matías Cavalleri,75049257,0,0,0,0,0,0,0,1,0,1,1,0,1,0,coruna
Nicolas Pépé,85136376,0,0,0,0,0,0,0,1,0,0,1,0,1,0,coruna
Xabier Santamaría,2000202642,0,1,0,0,0,0,0,1,0,0,1,1,0,0,coruna
Tasos Chatzigiovanis,36096701,0,0,0,0,0,0,0,1,0,1,1,0,1,0,coruna
Oier Zarraga,67260201,0,0,0,0,0,0,0,1,1,0,1,1,0,0,espanyol
Óscar Melendo,67214687,0,0,0,0,0,0,0,1,1,0,1,1,0,0,espanyol
Francisco Conceição,83261140,0,0,0,0,0,0,0,1,0,1,1,0,1,0,espanyol
Brais Méndez,67199158,0,0,0,0,0,0,0,1,1,0,0,1,0,0,espanyol
