Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution,Team
José Curras,67294881.0,3.5,13.0,13.5,14.08,1.75,3.0,1.75,2.75,alaves
Vyacheslav Karavaev,58076747.0,1.25,11.38,13.0,13.25,2.5,1.0,3.0,2.75,alaves
Junior Esparragoza,2000179937.0,2.5,14.0,12.5,13.75,2.25,2.5,2.5,2.75,albacete
Ángel Luis Arcas,2000571805.0,2.5,12.62,14.75,13.0,4.0,3.5,2.75,3.5,albacete
Marc Jurado,2000032704.0,2.0,14.0,17.0,12.0,1.75,1.5,2.25,3.0,amadrd
Tomás Esteves,83228786.0,2.5,14.5,16.25,13.08,1.75,2.5,2.5,3.0,barc
Asier Grande,2000048078.0,2.0,13.88,16.0,13.58,1.5,2.0,2.25,2.25,bilbao
Luka Jovanović,2000604683.0,2.0,13.0,15.0,9.83,1.5,1.0,2.0,3.0,cadiz
Nico Mickelson,53138009.0,2.25,12.75,14.0,11.42,2.5,2.5,2.75,1.5,cadiz
Carlos Fernando,2000194985.0,1.5,14.25,12.75,14.25,2.25,3.5,3.0,2.5,coruna
Enock Kwateng,85134692.0,4.0,11.88,11.5,13.25,2.75,2.5,1.75,1.5,coruna
César Ramírez,2000194011.0,1.75,13.5,11.0,15.08,3.5,3.0,1.25,2.75,espanyol
Lucas Forsberg,93141098.0,1.75,12.62,16.5,12.42,3.0,2.0,2.5,3.5,espanyol
Cristian Manea,57120897.0,2.75,13.25,14.5,12.75,2.25,1.5,3.5,1.5,granada
Ismael Casas,67271373.0,4.25,12.88,15.0,13.58,2.5,1.5,1.5,2.5,granada
Iván Martínez,2000510865.0,3.0,13.88,14.0,13.5,2.0,2.0,2.25,1.75,granada
Olmo,2000512864.0,2.0,14.25,14.25,13.75,2.0,2.0,2.75,2.25,granada
Ryan Johansson,90086790.0,2.25,12.62,12.0,12.17,2.75,1.5,4.0,2.25,leganes
Víctor Gómez,67257950.0,1.25,12.12,14.5,11.0,3.0,2.0,2.25,2.25,leganes
Patric,67100019.0,2.75,8.88,6.75,15.5,3.0,2.0,2.5,3.5,leganes
Sergi Rosanas,67265793.0,1.75,12.38,14.5,12.58,3.5,1.0,4.0,3.0,leganes
Jose Carlos,2000438639.0,3.25,14.0,15.5,11.83,2.25,3.5,2.0,1.75,realhisp
Takehiro Tomiyasu,45095490.0,2.5,15.0,15.0,14.17,2.25,4.0,1.75,1.75,rmdrd
Éder Militão,19273276.0,2.5,15.25,15.0,14.67,2.0,2.0,2.5,2.5,rmdrd
Zinho Vanheusden,18091405.0,1.5,13.25,13.0,14.0,1.0,1.0,2.0,2.5,rmdrd
Pedro Porro,67268221.0,2.0,15.0,16.0,13.5,1.5,2.0,2.5,2.25,rmdrd
Ciprian Trandafir,2000189363.0,2.5,14.5,15.5,11.83,2.5,2.0,1.25,3.25,rmdrd
Isaac Guerra,2000439269.0,4.0,14.12,13.0,14.25,2.0,3.5,2.0,1.75,rmdrd
Piotr Jabłoński,2000623979.0,1.5,14.5,15.0,13.5,2.0,4.0,2.0,1.5,rsana
Brandon Williams,28115834.0,2.5,13.5,15.5,14.0,2.0,3.0,1.5,3.0,rsana
Kyle Walker-Peters,29126231.0,3.0,13.12,13.0,13.25,2.5,4.5,2.0,2.0,sevilla
José María Noguera,2000438352.0,2.5,14.25,14.0,14.0,3.0,4.0,2.5,1.5,sevilla
Morten Thorsby,53098756.0,1.25,14.12,13.5,14.25,2.75,1.5,3.0,3.0,valencia
Aaron Wan-Bissaka,28100123.0,2.25,14.75,15.5,14.33,1.5,1.5,2.0,1.75,valencia
Andrejs Ciganiks,37075484.0,3.5,13.12,12.0,11.08,1.5,3.0,1.75,2.5,vigo
Junior Esparragoza,2000179937.0,2.5,14.0,12.5,13.75,2.25,2.5,2.5,2.75,vigo
Odilon Kossounou,93127195.0,2.25,12.75,14.25,13.33,2.25,2.5,2.75,3.0,villareal
Didier,2000509916.0,2.0,15.75,15.0,14.17,1.0,1.0,1.5,2.0,villareal
Wanderson Bastos,2000410491.0,3.25,14.0,14.5,13.42,1.75,2.0,2.0,1.5,villareal
Marvin,67277459.0,4.5,11.75,15.0,9.67,3.25,3.5,2.0,1.5,zaragoza
Francisco Jesús,2000511084.0,1.25,13.38,11.5,11.42,3.0,2.0,3.5,3.0,zaragoza
