Player,UID,CD,BPD,NNCB,Lib
Andrés Céspedes,2000043877.0,8.5,8.25,8.9,7.45
José Curras,67294881.0,12.5,12.5,12.6,12.55
Arnau Comas,67258409.0,13.25,13.15,13.55,11.8
Samir Kacem,2000433838.0,13.6,13.0,13.65,12.25
Javi López,67293674.0,13.1,13.6,12.55,13.25
Borja Sainz,67277845.0,9.55,10.2,9.75,11.5
Adil Aouchiche,49048441.0,9.85,10.25,9.5,11.25
Xabier Garmendia,2000631378.0,11.4,12.1,11.0,12.6
Ander Imaz,2000439533.0,6.7,7.9,6.4,9.05
Rafa Mir,67221051.0,11.05,11.25,11.05,10.6
Alexander Sørloth,53063430.0,11.15,10.65,10.95,10.4
Arnar Bragason,2000357424.0,13.1,13.1,14.1,12.4
Carlos Abad,67198215.0,8.95,8.85,8.95,8.7
Lirim Kastrati,24058534.0,7.55,7.35,8.05,8.65
Joseph Ngwem,2000202611.0,9.0,9.15,9.0,8.95
Asier Rodríguez,2000572954.0,7.8,7.85,7.6,9.45
David Martínez,14136117.0,13.05,13.6,13.25,13.35
Luca Sangalli,67190076.0,10.65,9.7,10.45,11.75
Birger Meling,29126536.0,11.05,10.75,11.05,11.6
Ibrahim Sangaré,48042717.0,13.5,13.65,13.4,12.75
Vyacheslav Karavaev,58076747.0,12.4,12.45,12.5,12.7
Schurrle,83223653.0,10.9,11.2,10.15,12.75
Suleimane Rodrigues,2000190096.0,10.5,11.55,10.6,11.85
Stefan Ranđelović,62247042.0,9.95,9.0,9.05,8.9
Rubén Garrido,2000515088.0,10.15,10.65,9.35,11.55
0,2000068663.0,11.55,11.3,10.6,11.2
